Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Defence,Defence,National,1. Administration,1. Administration,Annually,Number of Reserve Force mandays ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,1 985 307,,2 818 497,"The deviation of 833 190 mandays is a result of the increased utilisation of Reserve Forces to augment HR capacity constraints to:
•	support current military operations
•	meet administrative compliance obligations of the DOD
•	provide protection services (guards).",The Department will endeavour to adhere to HR interventions to reduce CoE cost pressures.,2 818 497,,,,,,,,,169
Defence,Defence,National,1. Administration,1. Administration,Annually,Percentage adherence to the DOD Master Record Index for Policies,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,60%,,67%,None. Annual target achieved. Five Departmental (Level 1) Policies were promulgated during FY2022/23,None. Annual target achieved. 67% of departmental policies are not overdue on their revised or promulgation date,67%,,,,,,,,,169
Defence,Defence,National,1. Administration,1. Administration,Annually,Percentage audits completed in terms of the approved Risk Based Internal Audit Plan,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,80%,,91.9%,The Department completed 34 out of 37 audits as per the approved Internal Audit Plan for FY2022/23.,None. Annual target achieved.,91.9%,,,,,,,,,169
Defence,Defence,National,1. Administration,1. Administration,Annually,Total number of Defence Attaché Offices,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,44,,44,"None. Annual target achieved.
The number of Defence Attaché Offices comprises: 10 offices in the SADC Region, 15 offices in the Rest of Africa and Middle East and 19 offices in the Rest of the World",None. Annual target achieved.,44,,,,,,,,,169
Defence,Defence,National,1. Administration,1. Administration,Quarterly,Percentage adherence to the DOD Master Record Index for Plans,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,70.73% (29),68.29% (28 out of 29),0,0,0,0,29.27% (12),17.1% (7 out of 41),100% (41),-,85.4% (35),Six out of 41 departmental plans could not be finalised during FY2022/23.  ,"The following four Planning Instruments have since been finalised in Q1 of FY2023/24:
•	DOD Internal Audit Plan for FY2023/24
•	DOD Reserve Force Plan for FY2023/24
•	DOD Anti-corruption and Anti-fraud Plan for 2023
•	DOD Information and Communication Technology Plan for FY2023/24

Two Planning Instruments were developed but not submitted for approval during the reporting period:
•	DOD Annual Operational Plan for FY2023/24
•	Reserve Force Council APP for 2023/24 MTEF",85.4% (35),"The RFC Level 2 APP for the 2023 MTEF was not submitted during Q1, since the RFC is currently not
operational in the absence of a RFC Council.","The RFC Level 2 APP for the 2023 MTEF will be submitted pending the appointment of the RFC
Councilors by the Executive Authority.",The Reserve Force Council (RFC) Level 2 APP for the 2023 MTEF remains outstanding since Q1.,The RFC Level 2 APP for the 2023 MTEF will be submitted pending the appointment of the RFC Councilors by the Executive Authority. ,None. No Q3 target.,None. No Q3 target.,"Five out of 12 plans were not tabled or submitted according to plan during Q4:
1) The DOD AOP for FY2023/24 was developed and is in the finalisation phase.
2) The DOD Anti-Corruption and Anti-Fraud Plan for 2022, submitted in Jul 2022 remains valid for FY2023/24.
3) The DOD Internal Audit Plan for 2023 was approved by the DOD Audit Committee on 06 Apr 2023 and
submitted on 12 Apr 2023.
4) The DOD Information, Communication and Technology Implementation Plan Roadmap for 2023 was approved
on 06 Apr 2023 and submitted on 12 Apr 2023.
5) The Reserve Force Plan.","To ensure alignment of programme outputs (on AOP level) with DOD APP for 2023 outputs, a submission to Sec
Def is being drafted to request for the DOD AOP for FY2023/24 to be submitted by 30 Jun 2023.
Liaison with C Def Res will take place to facilitate the submission of the DOD Reserve Force Plan by the end of
Apr 2023.",169
Defence,Defence,National,1. Administration,1. Administration,Quarterly,Percentage payments within 30 days from receipt of legitimate invoices,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,75%,78.9% (93 149 out of 118 047),75%,79.15% (104 070 out of 131 489),75%,85.2% (137 328 out of 161 229),75%,81.5% (86 848 out of 106 574),75%,-,81.5%,The lack of integrated departmental information systems adversely contributes to the ability of the Department to verify all (100%) legitimate invoices received for payment within the prescribed 30-day period as a national imperative of Government.,100% Target achievement will be pursued in future planning instruments.,81.5%,None. Q1 target achieved.,None. Q1 target achieved.,-,-,None. Q3 target achieved.,None. Q3 target achieved.,"The lack of integrated departmental information systems adversely contributes to the ability of the Department to
verify all (100%) legitimate invoices received for payment within the prescribed 30-day period as a national
imperative of Government.",None. Q4 target achieved.,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Annually,Number of Maritime Coastal Patrols conducted per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,4,,2,The SA Navy could not provide the required capabilities to execute maritime coastal patrols.,Target achievement to be pursued in future planning instruments.,2,,,,,,,,,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Annually,"Number of planned joint, interdepartmental, interagency and multinational military exercises conducted",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,4,-,4,"None. Annual target achieved. The SANDF participated in the following JIIM exercises:
* Ex SHARED ACCORD
* Ex IBSAMAR
* Ex OXIDE
* Ex MOSI",None. Annual target achieved.,4,,,,,,,,,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Annually,Percentage compliance with the Southern African Development Community Standby Force Pledge,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,100%,,88%,The SA Navy could not provide the required capabilities as pledged.,Target achievement to be pursued in future planning instruments.,88%,,,,,,,,,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Annually,Percentage of the value of reimbursement by the UN/AU recognised,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,70%,,42%,UN funding is reliant on contributions from donor countries.  ,Departmental processes and procedures are in place to ensure maximum reimbursement.,57%,,,,,,,,,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Quarterly,Number of landward sub-units deployed on border safeguarding per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,15,15,15,15,15,15,15,15,15,-,15,"None. Annual target achieved.
The SANDF deployed 15 sub-units to execute Op CORONA (Border Safeguarding) in Limpopo, Mpumalanga, KwaZulu-Natal, Free State, Eastern Cape, Northern Cape and North West Provinces",None. Annual target achieved.,15,None. Q1 target achieved.,None. Q1 target achieved.,-,-,None. Q3 target achieved.,None. Q3 target achieved.,None. Q4 target achieved.,None. Q4 target achieved.,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Quarterly,Percentage compliance with number of external operations,Not Applicable,Not  Applicable,Create a better South Africa and contribute to a better Africa and a better world,"International Cooperation, Trade and Security cluster",100%,100%,100%,100%,100%,100%,100%,100%,100%,-,67%,No Op COPPER Long-Range Patrols were conducted during FY2022/23 due to SA Navy prime mission equipment not being operationally available as required due to maintenance backlogs and resource constraints.,Target achievement to be pursued in future planning instruments.,67%,None. Q1 target achieved.,None. Q1 target achieved.,-,-,None. Q3 target achieved.,None. Q3 target achieved.,None. Q4 target achieved.,None. Q4 target achieved.,169
Defence,Defence,National,2. Force Employment ,2. Force Employment ,Quarterly,Percentage compliance with number of internal operations,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100%,100%,100%,100%,100%,100%,100%,100%,100%,-,100%,"None. Annual target achieved. SANDF forces deployed in the following internal operations during FY2022/23: 
•	Op PROSPER (Support to Government departments, mainly SAPS 
[i.e. Safety and Security Support]).
•	Op CHARIOT (Disaster Aid and Relief [Humanitarian Assistance]).
•	Op ARABELLA (Search and Rescue). 
•	Op CORONA (Border Safeguarding).","None. Annual target achieved. 
",100%,None. Q1 target achieved.,None. Q1 target achieved.,-,-,None. Q3 target achieved.,None. Q3 target achieved.,None. Q4 target achieved.,None. Q4 target achieved.,169
