Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of investment facilitated,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R400m,"R714M;
Veer  
R400M
Aerospace (6 companies)  – R5,538M; 
Evergreen - R80M
CTFL - R6.6M. Two Companies: Senza Clothing (Pty) Ltd. R1.27M and Amanda Laird R5.34M
Agro-Processing: SAPA: R220M (Rainbow Chicken Hammarsdale Plant) (Plant Opening on 28 August 2023)
SAFI – R1.7M 
Opening: R714M
Metals: Velocity Venture – aluminum ingots and rod – R120M (in collaboration with ISA - SAIC","Regular Monitoring of investments pledged
",N/A,R400m," R41.1M

","Regular monitoring of investments pledged
",N/A,R300m,"R1 095bn;
Opening : R1.9bn
Electrotechnical :
Wiener : R400m
Metals:
• Company 1-: R28M
• Company 2 R38.2M
NIPP
Rolls Royce – R8,9m
Wartsila –
CPUT 1- R10.8
CPUT&Marine – R9,1m
Agroprocessing
Poultry Master Plan
Company 1 – R356m (IDC)
Company 2 – R237m (IDC)
Company 3 – R6.09m (Landbank)
Company 4 – R1.8m (Furniture)
",NA,NA,"R400m

","R177m 
AISI –
 R9m
AluSouth – R80m
GMSA – R3.1m
Reefo Southern Africa – R85m
",Regular monitoring of investments pledged,N/A,R1.5bn,-,"R3. 186bn 
","Regular monitoring of investments pledged
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) of additional local output committed or achieved,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R1bn,"R229 000 000 
secured from;
Chemicals R60M:  Company 1: Afrizonke (R15M)  & Company 2: Chemcor (R45M) 
Plastics R135M: Company 1: SRF Flexipack (R130M) & Company 2: Techofuel (R5M) 
Primary minerals R30M: Company1Polarium(R30M) 
Poultry (R3.9M): Local  production added from 185 000 birds to 300 000 = 115 000 @ R34/birds   
Total: R229 000 000 
","Inability of firms to confirm accurate localization data
","Intensive engagements with stakeholders on localization
",R1bn,"R1.9bn ( 2A R1.409bn & 2B R496M 

Opening : R229m
Aerospace and Defence:
 Sector-wide: R9,8m
 
Poultry: 
Rainbow Chicken – R1,4bn (pa) estimated incremental value with 2 million extra chickens produced per month 

Chemicals: 
Elegant Afro Chemicals R 167 742 000
African Chemicals  R 328 200 000
","Regular monitoring of investments pledged
","N/A
",R250m,"R1bn ( A R87M & 2B 
R1bn)

Opening : R1.9bn
Metals:
Company 1-: R87M 

Pungeni Aromatics: R1bn

","Regular monitoring of localization data committed and achieved
",NA,"R250m

","R272m;
Agro Processing:
•	Tiger Brands: R265M
•	AISI – R7.2m",Regular monitoring of localisation data committed and achieved,N/A,R2.5bn,-,"R3Bn
","Inability of firms to confirm accurate localization data
","Intensive engagements with stakeholders on localization
",N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of exports in manufacturing sectors,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R100m,"R521.4M secured from;
• Cosmetics - In-Cosmetics Global 2023 in Spain, Export orders signed by Natural Ingredients producers at the stands amounted to R1 438 060 with 556 trade leads collected by the companies; April 2023.
• Raw sugar exports (April 2023) – SASSA (Source: SARS/Quantec) 
","Regular monitoring of sector 
interventions and increased stakeholder engagements
",N/A,R100m,"R204M

",N/A,N/A,R50m,"Nil
","Annual Target already exceeded in previous quarter
","NA
","R160m

","R2.6m
Metals
Company 1 – R2.3.m
Company 2 – R300 000
",Regular monitoring of sector interventions and increased stakeholder engagements,N/A,R410m,-," R3.2Bn 
","Regular monitoring of sector interventions and increased stakeholder engagements
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value of exports in manufacturing sectors to Africa,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R25m,"R430 000 
","No targeted programme for Africa Regional Development
","Increased engagements with exporters into Africa
",R25m,R130.88,"Regular monitoring of sector interventions and increased stakeholder engagements
",N/A,R10m,"R30M:
Opening : R133.2M

Metals: R30M
Company 1:R0.32M 
Company 2:R22.7M
Company 3: R6.7M

","Regular monitoring of sector interventions and increased stakeholder engagements
",NA,"R33m


","R80m

Metals
Company 1 –R5.9m
Company 2 – R73.8m
Company 3 –  R300 000
",Regular monitoring of sector interventions and increased stakeholder engagements,N/A,R93m,-,"R 244.M
","No targeted programme for Africa Regional Development



Regular monitoring of sector interventions and increased stakeholder engagements
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs supported,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",600 000,"614 159 jobs supported through the following sectors: 
Poultry and Sugar - 132 000; Autos –  53137 
CTFL – 86612 manufacturing + 120 000 retail; Furniture Masterplan – 22 000; 
Steel Masterplan - 219 457. 
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,600 000,"670 790 


","Regular monitoring of sector interventions and increased stakeholder engagements
",N/A,"600 000
","671 184 jobs supported
through the following
sectors:
Master Plans (668 070)
Poultry – 47 000 and
Sugar - 79 000; Autos –
116 288; CTFL – 68 409
manufacturing + 120 000
retail; Furniture
Masterplan – 24 059;
Steel Masterplan – 213
314 (CTFL, Furniture &
Steel is based on QES
published on 28
September 2023)
Non Masterplans: 3 114
NIPP (Automotives) 1 857
Aerospace Industry
Support Initiative 1 257
","Regular monitoring of industry interventions and increased stakeholder engagements
",NA,"600 000
","742 759 jobs supported through the following sectors:

Master Plan: 740 075
Poultry & Sugar: 126 000
Automotives: 116 288
CTFL & Furniture: 211 832
Steel: 220 355
GBS: 65 600

Non-Masterplans: 2 684
NIPP (Automotives) 1 427
Aerospace Industry Support Initiative 1 257
",Regular monitoring of industry interventions and increased stakeholder engagements,N/A,600 000,-,"682 172 
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs to be created through the dtic programmes: •	50 000 social economy fund part-time or temporary job opportunities; •	50 000 full-time jobs,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",400,"1 836 jobs created through the following sectors: 
Primary Minerals: 550 Scaw Metals, 
Angi Steel, Polarium Veer Metals 800,
Velocity Ventures 250 jobs to be created at full production
Plastics: 8
CTFL: 115 
Electro technical: 20 (ABB South Africa)
Medical devices: 10 new jobs created and an additional 50 is proposed to be created as a result of the new manufacture operations(Evergreen Latex)
National Industrial Participation Programme: 93
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,400,"1 219
 
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,"250
","891 (13 B1: 656 & 13 B2: 235)
","Regular monitoring of industry interventions and increased stakeholder engagements
",NA,"409

","28 jobs in Metals

Company 1 – 5
Company 2 – 23
",Annual Target exceeded in previous quarter,N.A,1 459,-,"4 042 
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs in Black industrialist firms supported by the dtic group,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 000,"526 jobs in black industrialist firms
",Low monitoring of black-owned business in sectors,"Increased sector interventions amongst  black 
industrialists",1 000,"16 071:

","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,1 500,"422:
Metals: 422
","Regular monitoring of industry interventions and increased stakeholder engagements

Annual target exceeded already

",NA,"1 500

",Nil,Annual Target exceeded in previous quarter,N/A,5 000,-,"16 666
","Regular monitoring of industry interventions and increased stakeholder engagements
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Publishing of regulations when necessary and expedited publishing of energy efficiency compulsory specifications.,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,"2 compulsory
Specifications submitted i.e.;

General Service Lamps were published in the Government Gazette on 23 May 2023.; and
Submission on the amendment of the Compulsory Specification for Electrical and Electronic Appliances was submitted .
","
Increased and regular monitoring of sector interventions
"," 
N/A",1,"1 compulsory
Specifications submitted i.e.;

Energy efficiency and labelling of electric motors,
","Regular monitoring of industry interventions and increased stakeholder engagements
","N/A
",1,"1 Proposed Compulsory
Specification for Efficiency
Requirements of Electric
Motors (VC 9113) was
gazetted for public comment
on 5 October 2023.
",NA,NA,"1

",Nil,Annual Target exceeded in previous quarter,N/A,4,-,4,N/A,N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,"Priority legislation amended, tabled or submitted to Executive Authority, Cabinet or Parliament",Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Nil,"Submission of NBR Act finalised and submitted
","Ministerial intervention that had to be expedited 
",N/A,Nil,N/A,N/A,"N/A
",Nil,NA,NA,NA,"1

","Draft National Building Regulations (NBR) Amendment Bill, Cabinet Memorandum and other supporting documentation were submitted to the Minister",N/A,N/A,1,-,1,"Ministerial intervention that had to be expedited 
",N/A,N/A ,177
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,High impact trade and climate change strategy and advocacy,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Assessment of 
existing carbon policy and trading 
elements","Assessment of existing carbon policy and trading elements 
",N/A,N/A,"Analyse 
potential mitigation strategies","Analysed potential mitigation strategies

Training for new heads of foreign missions – dirco by Green Industries on amongst others CBAM implications and response
","Regular monitoring of industry interventions and increased stakeholder engagements
","N/A
","Stakeholder 
engagements workshops on draft strategy and action
plan
",Nil,"Branch requested the indicator to be removed from revised APP as it is led by Trade branch
",NA,"Finalisation of

strategy and action plan on Carbon Boarder Adjustment Mechanisms",N/A,N/A,N/A,"Strategy and action
 plan for South Africa’s engagement with the EU on Carbon Border Adjustment Mechanisms",-,,,,N/A ,177
