Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,UID
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Annually,Percentage of audit findings resolved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,85 %,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage of budget for goods and services spent on enterprises owned by people with disability,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,7 %,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage of budget for goods and services spent on enterprises owned by youth,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,30 %,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Percentage of budget spent on enterprises owned by women,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,40 %,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,percentage of invoices paid within 30 days,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",100 %,97 %,100 %,96% %,100 %,89 %,100 %,,100 %,97 %,,,,,"1. Closure of the system  at year end
2. Supporting documents not compliant. E.g. original form B and D not fully completed, form D not attached, duplicate invoice
3. Bank account closed and Bank account verification failed.",Compliance check of documents at the receiving point before processing of payments,"	
1. Address on order & invoice not on CSD
2. Invitation to interview and motivation for late submission not attached.
3. No of days on form D not correct
4. No School stamp on the forms
5. Bank Account closed
6. SLA and appointment letter not attached
7. Invoice and order amount not the same
8. Delay in verification process",Compliance check of documents at the receiving point before processing of payments.,"1. Cash flow Challenges
2. Kilometres claimed differs with kilometres approved
3. Supporting documents not attached and escalation amount not charged
4. Address on invoice and pink copy not on CSD
5. System interface error
6. Bank account closed","	
Acquiring of invoice tracking system",15
Police, Safety and Liaison,North West,Programme 1: Administration,Sub-Programme 1.6: Security,Quarterly,Number of reports complied on the implementation of the disaster management plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,,4,1,,,,,None,None,None,None,None,None,15
Police, Safety and Liaison,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Annually,Number of research projects conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,2,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Annually,Number of M&E special projects implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,1,,,,,,,,,,,,15
Police, Safety and Liaison,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of monitoring compliance forums held with IPID and the SAPS to monitor implementation of recommendations,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",3 %,3 %,3 %,3 %,3 %,3 %,3 %,,12 %,9 %,,,,,None,None,None,None,None,None,15
Police, Safety and Liaison,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of police stations monitored for compliance to regulations,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",10,01,10,15,10,14,10,,40,30,,,,,Mmabatho Police Station was identified for piloting and  implementation of the new Monitoring Tool. The process was to assess the gaps and effectiveness of the tool before it could be carried out at all other thirty nine (39) identified police stations.,The nine (09) police stations not visited will be spread between the three quarters and implemented as such.,"	
	
The 5 extra police stations monitored are meant to cover the shortfall of Q1",None,"	
At the end of Q3, 14 police stations were visited against a target of 10. The 4 extra police stations are meant to cover the shortfall of Q1.",None,15
