Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q4,CorrectiveAction_Q4,ReasonforDeviation_Q3,CorrectiveAction_Q3,UID
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion received from the AG of South Africa,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,Clean audit outcome,,,,,,,,Clean audit outcome,,Unqualified Audit Opinion,,,"Unqualified Audit Opinion with findings
",,,,,,,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Annually,Implementation Plan for the phased rollout of the Safety and Security Minimum Norms and Standards at TVET colleges approved,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,,,,,,,,,Implementation Plan for the phased rollout of the Safety and Security Minimum Norms and Standards at TVET colleges approved by the Minister by 30 June 2023,,Implementation Plan for the phased rollout of the Safety and Security Minimum Norms and Standards at TVET colleges was not approved by the Minister as planned,Unavailability of dedicated budget and relevant stakeholders.,Relevant stakeholders are consulted to finalise the Plan. ,"Targets not 
Achieved

Reports on the 
implementation 
of the Safety 
and Security Minimum 
Norms and 
Standards at 
TVET Colleges 
were not 
approved by 
the Director r-General as 
planned",,,,,,,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Annually,Minimum Norms and Standards for safety and security focusing on universities approved,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,,,,,,,,,Minimum Norms and Standards for safety and security focusing on universities approved by the Minister by 31 March 2024,,Minimum Norms and Standards for safety and security focusing on Universities were not approved as planned.,Unavailability of relevant stakeholders. e.g. SAPS and lack of co-operation.,Continuous engagements with relevant stakeholders.,"Target not 
Achieved
 
Minimum 
Norms and 
Standards for 
safety and security focusing 
on universities were not 
approved as 
planned.",,,,,,,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Annually,"Percentage of determination tests on irregular, fruitless and wasteful expenditure concluded within 12 months",Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,,,,,,,,,100 %,,0,The Directorate: Internal Audit did not receive request to perform the determination test during the period under review during the period under review.,"The target is dependent on a request to conduct the determination tests, thus will be removed from the APP for 2024/25 financial year.",0,,,,,,,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Business Continuity Plan approved,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,Service provider for the development of Business Continuity Plan appointed by 30 June 2023,"Target not Achieved.

The service provider for the development of Business Continuity Plan appointed was not appointed as planned. 
",A consulted stakeholder Business Continuity Plan submitted for presentation at EXCO meeting by 30 September 2023.,"Target not
Achieved.
A consulted
stakeholder
Business Continuity
Plan was not
submitted for
presentation at
EXCO meeting as
planned.",Draft Business Continuity Plan tabled at EXCO meeting by 31 December 2023.,,Business Continuity Plan approved by the Director-General by 31 March 2024,"Target not Achieved.

The Department has commenced with the process of developing Business Continuity Plan after participation process in the Office of the Presidency Business ",Business Continuity Plan approved by the Director-General by 31 March 2024,-,"Target not Achieved 

Business Continuity Plan was not approved by the Director General as planned
","In the main, these were due to: (i) inadequate funding and (ii) capacity constraints which impeded the Department’s ability not only to develop the BCP but also other critical elements of the Continuity Management System.",The Department has commenced a process of developing BCP after the participation process with Office of the Presidency Business Continuity Plan contract failed. It is envisaged that the BCP will be finalised during 2024/25 financial year.,"Target not Achieved 

Business Continuity Plan was not approved by the Director General as planned","Delayed/ no response to a
formal engagements or request by the Department to the Department of Presidency to participate in their Business Continuity Plan 
",To issue a new tender through the Department’s SCM processes so that a service provider can be sourced for the development of a Business Continuity Plan as planned.,"Delayed response
from Presidency on
the request to
participate in its
existing Business
Continuity Plan
contract","The process for
the appointment of
a new service
provider has been
initiated within the
Department’s
Supply Chain
Management
processes.","The appointment of a credible, competent service provider with a proven track record proved to be a challenge.",It is envisaged that the Business Continuity Plan will be finalized by 30 August 2024.,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of reports on the Implementation of the Safety and Security Minimum Norms and Standards in selected TVET colleges approved,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,Implementation Plan for the phased rollout of the Safety and Security Minimum Norms and Standards at TVET colleges approved by the Minister by 30 June 2023,"Target not Achieved. 

Implementation Plan for the phased rollout of the Safety and Security Minimum Norms and Standards at TVET colleges was not developed as planned. 
",Report on the Implementation of the Safety and Security Minimum Norms and Standards in selected TVET colleges approved by the Director General by 30 September 2023,"Target not
Achieved
Report on the
Implementation of
the Safety and
Security Minimum
Norms and
Standards in
selected TVET colleges was not
developed a planned ",,,Report on the Implementation of the Safety and Security Minimum Norms and Standards in selected TVET colleges approved by the Director General by 31 March 2024,"Target not Achieved

Security workshop was held to map out the Implementation Plan of the Safety and Security Minimum Norms and Standards in selected TVET colleges.
",2 Reports on the Implementation of the Safety and Security Minimum Norms and Standards in selected TVET colleges approved,-,"Targets not Achieved

Reports on the implementation of the implementation of the Safety and Security Minimum Norms and Standards at TVET Colleges were not approved by the Director-General as planned
",Unavailability of dedicated budget and relevant stakeholders., Plans are in place to finalise the plan for implementation.,"Target not 
Achieved 
Implementation Plan for 
the phased 
rollout of the 
Safety and Security Minimum 
Norms and 
Standards at 
TVET college
was not 
approved by 
the Minister as 
planned",Still in a planning phase with the TVET College Branch to hold the safety and security workshop in August 2023 to map out the project plan.,,"Stakeholders are
being consulted to
make inputs into the
Implementation Plan
of the Safety and
Security Minimum
Norms and
Standards. However,
there is lack of
funding to enable stakeholders’
consultation ","Engagements are
being made to
request funding
from the TVET
Branch.",Unavailability of the budget and relevant stakeholders to establish the Committee of the Safety and Security Minimum Norms and Standards in selected TVET colleges and the terms of reference for the project. ,"The SAPS Divisional Head has been to intervene and ensure that the SAPS is represented in the committee.

Continuous engagements with relevant stakeholders.
",,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of disciplinary cases resolved within 90 days per annum,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,80 %,81 %,80 %,94 %,80 %,,80 %,81 %,80 %,81 %,86.3,Progressive discipline prescripts adopted to  Inculcate and promote a culture of professional ethics and accountability ,None,86.3,,Continuous engagement with initiators regarding the prioritisation of cases of misconduct. ,N/A,N/A,None,None,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of network connectivity uptime per annum,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,95 %,99.42 %,95 %,99.22 %,95 %,,95 %,96.35 %,95 %,0 %,98.6,Reconfigured new machines and hardware implemented,None,97.9,none,none,N/A,N/A,None,None,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: Black-owned businesses,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,60 %,55.28 %,60 %,75.62 %,60 %,,60 %,62.47 %,60 %,0 %,71.11,Sourcing of quotations was mainly targeted at black owned business,None,71.11,"It was not possible to select suppliers containing all specific goals simultaneously.
Supplier filtering application on the central database of National Treasury that is used to select suppliers was inactive.
","The Request for Quotation system and its templates were amended to accommodate the five-procurement specific targets

The Department is in the process of developing a monitoring tool to gauge weekly progress targets
",N/A,N/A,None,None,,,210
Higher Education and Training,Higher Education and Training,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of public procurement set aside for: businesses owned by people living with disabilities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,7 %,0.80 %,7 %,0.17 %,7 %,,7 %,0.67 %,7 %,0 %,0.42,"The percentage target was affected by:
•	The multiple supplier effect;
•	Shortage of supplier for certain categories of commodities.
","
•	Some targets e.g. business owned by persons with disabilities, will be amended to compensate where suppliers are less available in the markets.",0.42,"It was not possible to select suppliers containing all specific goals simultaneously.
Supplier filtering application on the central database of National Treasury that is used to select suppliers was inactive.
","The Request for Quotation system and its templates were amended to accommodate the five-procurement specific targets.

The Department is in the process of developing a monitoring tool to gauge weekly progress targets
","It was not possible to
select suppliers
containing all fiveprocurement
specific
targets (women,
youth, Black, People
with Disability and
Small, Medium and
Macro Enterprises
Simultaneously. The
supplier filtering
application on the
central database of
National Treasury
used to select suppliers was
inactive. ","The Request for
Quotation system
and its templates
were amended to
accommodate the
five-procurement
specific targets.
The Department is
also in the process
of developing a
monitoring tool to
gauge weekly
progress targets.",Supply market is not competitive for enterprises owned by people living with disabilities.,Sourcing of quotations is being mainly targeted at business owned by people with disabilities as on the supplier database. ,,,210
