Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q4,OTP_Q1,OTP_Q2,UID
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 1.1: Number of schools that are monitored for implementing improvement plans based on monitoring findings of district officials ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1666,,1666,,1635,Merger and closure of schools ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,"POI 1.2: Number of qualified Grade R-12 teachers aged 30 and below, entering the public service as teachers for the first time during the financial year",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,250,,250,,1455,the target was adjusted and increased to 1100,higher number of vacant post were available ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 1.3: Percentage of department’s procurement awarded to women owned businesses,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,40 %,,40 %,,40,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 1.4: Percentage of department’s procurement awarded to youth owned businesses,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,30 %,,30 %,,11,"Youth owned businesses are largely not bidding for procurement, and or their companies are not registered for commodities in line with needs of the Education sector.",Encourage youth to compete in those categories ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 1.5 Percentage of department's procurement awarded to people with disability owned businesses,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,7,,7,,1,"Companies owned by persons with disabilities are largely not bidding for procurement, and or their companies are not registered for commodities in line with needs of the Education sector.",Encourage people with disability to compete in those categories ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 1.6 Percentage of schools having access to information through (a) Connectivity(other than broadband) (b) Broadband,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,70.9,,70.9,,70.9,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103 Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,16 %,,16 %,,16,None,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 101:  Number of public schools that use the South African Schools Administration and Management Systems (SA-SAMS) or any alternative electronic solution to provide data,Standardized,Max,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",1666,1634,1666,1635,1666,1636,1666,1635,1666,1636,1635,1635,closure and merger of schools ,,Closed /merged non viable schools,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 98,1% of the set target.  The variance is -32. The PED has  provided a reason for the attainment of the set target for the quarter under review. 
",Closure /merger of schools ,None ," The outcome for the 2nd  quarter of the 2024/25 financial year is 98% of the set target. The variance is -31. The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",Closure of small and non-viable schools ,None ,"The PED has achieved 98,2% of the set target for the quarter under review. The variance is -30.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",Closure / merger of schools ,None ,"The PED has achieved 98,14%  of the set target for the quarter under review.   The variance is -31. The PED has provided a reason for the attainment  of the quarterly target.   The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,,,171
