Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q4,OTP_Q3,OTP_Q1,OTP_Q2,UID
,"Sport, Arts and Culture",North West,Programme 1: Administration,Programme 1: Administration,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
,"Sport, Arts and Culture",North West,Programme 1: Administration,Programme 1: Administration,Quarterly, Number of job opportunities created,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",200,266,"The 2024 Youth Day Celebrations was initially categorized as departmental event.  
It was then changed to be a Provincial Event hence the number of work opportunities increased.
","	
This performance will be used as a benchmark for future planning.",Achieved.,300,461,"The new intake of EPWP contract workers was made in the quarter.
Due to the presence of the Premier during Heritage Day celebration additional number of security and labourers were increased. ",The performance will be used as a benchmark for future planning. ,"Achieved, reason for deviation and corrective action provided.",300,308,"Quarter three events led to more job opportunities created. 

",The performance will be used as a benchmark for future planning.,"Overachieved, reason for deviation and corrective action provided.",200,200,N/A,N/A,,1000,1235,1235,Additional intake of EPWP contract worker due to the presence of the Premier during Heritage Day celebration,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,0,0,0,0,,0,,,,No reporting required for the quarter under review.,0,,,,No reporting required for the quarter under review.,0,,,,,0,-,,,,,,,,,33
,"Sport, Arts and Culture",North West,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of interventions conducted to implement the National Strategic Plan  (NSP) on Gender Based Violence ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Social Protection, Community and Human Development cluster",7,7,N/A,N/A,Achieved as planned.,8,08,N/A,N/A,Achieved.,8,8,N/A,N/A,Achieved.,7,7,N/A,N/A,,30,30,30,N/A,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of external audit action plans implemented ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"The Social Protection, Community and Human Development cluster",0 %,0 %,N/A,N/A,No reporting required for the quarter under review.,0 %,0 %,N/A,N/A,No reporting required for the quarter under review.,30 %,70% %,The Department has Improved in addressing and implementing AG action plans.,The performance will be used as a benchmark for future planning.,"Overachieved, reason for deviation and corrective action provided.",70 %,30% %,The actions plans that fall over the 4th quarter were implemented before their set target date. ,Adjust the projections of for the quarters and make them realistic.,Actual outputs to be reported and implemented as per the quarterly target.,100 %,0 %,100,N/A,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Default,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Number of artists placed in schools per year ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,80,80,,,,80,80,80,N/A,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Number of creative industries practitioners developed through mentorship programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,30,30,,,,30,30,30,N/A,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",20,20,N/A,N/A,Achieved as planned.,40,41,More demand from CA’Cs due to closing period of schools.,The performance will be used as a benchmark for future planning. ,Achieved.,40,40,N/A,N/A,Achieved.,20,29,"Participation in intergovernmental /interdepartmental events and privately organised events: Office of the Premier, Library Services, Social Development, Special Programmes and host of Onkgopotse Tiro Pilgrimage in Quarter 4 led to overachievement.","The programme will incorporate interdepartmental events in its plans for the next financial year and going forth, including Thuntsa Lerole Programmes and to improve on stakeholders collaborations for future plans. ",,120,130,130,"Participation in interdepartmental events and collaboration with privately organised event led to overachievement. i.e Office of the Premeir; Library Services, Social Development; Special Programmes and Okgopotse Tiro Pilgrimage.",N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of initiatives implemented to raise awareness on the national symbols,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",20,20,N/A,N/A,Achieved as planned.,30,32,More demand from CA’Cs due to closing period of schools.,The performance will be used as a benchmark for future planning.,Achieved.,20,20,N/A,N/A,Achieved.,10,18,"Participation in intergovernmental /interdepartmental events and privately organised events: Office of the Premier, Library Services, Social Development and Special Programmes let to overachievement.","The programme will incorporate interdepartmental / intergovernmental events in its plans for the next financial year and going forth, including Thuntsa Lerole Programmes. ",,80,90,90,Participation in interdepartmental events and collaboration with privately organized event led to overachievement.,N/A,,Overachieved,,,,33
