Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Number of hospitals implementing the Queue Management System (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,37,2,37,2,,"Target not achieved due to the complexity of the CMJAH patient workflow process and the influx of patient, the hospital decided to follow a phased approached implementation. Phase 1 (Paediatrics Pharmacy and Main Pharmacy) is completed.
	
","We are planning to implement QMS in only two facilities during 2025/26 financial year: Rahima Moosa Hospital and Charlotte Maxeke Johannesburg Academic Hospital (CMJAH). The remaining facilities will be phased in over the next three years.

•  At CMJAH Phase 2 is ongoing and scheduled for completion by May 2025.
",,37,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of budget spent on townships enterprises against identified commodities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,60 %,19 %,60 %,19 %,,"Target not achieved as the bulk of GDoH procurement is geared towards Original Equipment Manufacturers (OEM’S) for example medical equipment, medical consumables and pharmaceuticals, procured from non-township enterprises.","•	The Department of Economic Development needs to assist in the development of township enterprises to enter the medical commodity market.
•	Contracts for identified commodities >1 000 000 awarded to historically disadvantaged individual owned enterprises. 
•	Support from institutions in meeting PP spend targets
•	Utilization of P Card for purchases <R30 000
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of CHCs implementing PACS (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,51 %,18.2 %,51 %,18.2 %,,"Target not achieved. The current low percentage of Community Health Centres (CHCs) implementing PACS is due to several operational and technical challenges:
• Inadequate Devices: Many CHCs lack the necessary hardware to support PACS integration.
•	Isolated Radiology Network: Existing radiology systems are not connected to a centralized network, making integration difficult.
•	Unavailability of Modality Licenses: Required software licenses for imaging modalities are missing, delaying implementation.
",Meetings are now aligned to better track and manage ongoing PACS-related tasks. Critical issues have been escalated to the GPN for faster resolution and resource allocation. Requests for modality licenses have been initiated with vendors across all districts to close the licensing gap.,,51%,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of CHCs with integrated health information systems (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,61 %,0 %,61 %,0 %,,"Target not achieved. Only 33 CHCs have completed implementation of key modules (patient administration, finance, billing, and revenue), progress on clinical modules has stalled due to:
a. Poor ICT infrastructure in clinical areas.
b. Ongoing procurement of necessary devices and network upgrades.
c. Persistent network downtime, which has been escalated to eGov.
d. Budget constraints limiting infrastructure rollout.
","Procurement of devices for clinical areas is in progress. Installation of additional network points is underway to support system access. Facilities like Lilian Ngoyi CHC and Zola CHC are actively preparing for clinical module rollout. Khutsong, Bekkersdal, Esangweni, and Stanza Bopape CHCs are fully ready for implementation. Despite current constraints, efforts are ongoing to prioritise essential infrastructure within available budgets and secure additional funding where possible.",,61%,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of hospitals compliant with Occupational health and safety regulations,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,100 %,97 %,100 %,97 %,,"Target not achieved. Thelle Mogoerane hospital there were no fire detection and warning system; no fire escape doors; no 1hour fire barriers and sprinkler system in stores; no emergency lighting, assembly points luminary fire exit system, exit signs and notices for wayfinding.","OHS specific maintenance to install fire detection and suppression equipment.

Regular OHS Grand rounds on the OHS Compliant 
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of service providers invoices without dispute paid within 30 days ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,100 %,21 %,100 %,21 %,,"Target not achieved due to the Department paid more accruals than current invoices.
Payment of Medico-Legal. 
Late submission of invoices.
Non-adherence to turnaround times in attending to exceptions by our Health Institutions (PO creation & GRV capturing).
Cash availability.
","Monitoring of Cash Available. 
Weekly meetings with Management at Entities.
Weekly scrutiny of payment proposal and preparation of payment run as a collective, chaired by CFO.
Constant reminders sent:
By system daily Monthly
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of women in senior management posts,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,50 %,46.2 %,50 %,46.2 %,,"Target was not achieved. There was 1% growth in the recruitment of women at senior management service compared to last quarter, however the gain was offset by natural attrition i.e. retirements.",Continue to target women for filling of posts at Senior Management Positions.,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Rand value for medico-legal claim,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,R16.2bn,R261 394 350.00 ,R16.2bn,R261 394 350.00 ,,"During the 4th quarter of the 2024/25 financial year, the Department received 20 (Twenty) medico-legal claims, with a corresponding claim value of R261 394 350.00. ",N/A,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of hospitals implementing the Queue Management System,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,12,1,24,,37,2,37,3,,,,,,"WIFI installation and configuration have been completed at Rahima Moosa. The installation of monitors is complete. Training commences on the 22 June 2024 -11 July 2024 and concluded.  Configurations for the Wi-Fi network are currently in progress. Kiosks are installed.

A system demonstration was concluded on the 05 July 2025
Pilot sites to go-live on the week of 19 July 2024
",Currently pilot sites are CMJAH and Rahima Moosa,Target not achieved due to budget constraints. Rahima Moosa Hospital is the only hospital that has implemented a queue management system. ,The department is in the process of allocating funds to the project,,,"Target not achieved due to the complexity of the CMJAH patient workflow process and the influx of patient, the hospital decided to follow a phased approached implementation. Phase 1 (Paediatrics Pharmacy and Main Pharmacy) is completed.","We are planning to implement QMS in only two facilities during 2025/26 financial year: Rahima Moosa Hospital and Charlotte Maxeke Johannesburg Academic Hospital (CMJAH). The remaining facilities will be phased in over the next three years.

•  At CMJAH Phase 2 is ongoing and scheduled for completion by May 2025
",283
