Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,1.1.1: Number of compliance documents submitted to the Legislature,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not applicable,Not applicable,,1,2,"The overachievement was due to the legislative requirement for submission of policy speech in the first quarter.  However, due to the May general elections, a second policy speech had to be submitted as an institutional requirement.",None,1,1,None ,None ,5,4,"The SDIP was not developed during the reporting period due to changes in the SDIP guidelines, which require all departments to submit the draft by March 31 and the approved SDIP by June 30, 2025.","The approved SDIP will be submitted in accordance with the SDIP guided by June 30, 2025.",Noted,7,7,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,1.1.2: Percentage (%) of reports submitted to the House,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,None,"It is advisable to give a brief summary of what has been achieved, to indicate what reports were submitted to the House this quarter and how many were they to get to the 100%",100 %,100% %,NONE,None,100 %,100 %,None ,None ,100 %,75% %,There were delays in receiving responses from various stakeholders.,The department will continuously enhance monitoring of IQP responses to ensure that they are submitted within the required timeframes.,,100 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.1: Number of HOD performance review sessions convened,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not Applicable,Not Applicable,,1,1,None,None,0,0,Not Applicable ,Not Applicable ,1,1,None,None,,2,2,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.2: Number of programmes on mainstreaming and transformation initiatives implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,2,2,None,None,2,"
1",Unanticipated financial constraints restricted the capacity to achieve the desired target.,The funding will be sourced to provide a financial safety net for unexpected shortfalls.,1,1,None,None,Please provide actual output information for this indicator,6,5,,,,,Please provide reasons for deviation and indicate how they are going to be corrected,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,"1.2.3: Number of reports on evaluation of the effectiveness of governance processes, risk management and controls compiled",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,2,2,None,None,,5,5,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.4: Number of reports on the risk management compiled,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.5: Number of reports on fraud prevention compiled,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.6: Percentage (%) of security management plan implemented,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,None,,100 %,100 %,None,None,100 %,100  %,None,None ,100 %,100 %,None,None,,100 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,1.3.2: Percentage (%) of expenditure in relation to budget allocated,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,98 %,98 %,,,,98 %,98 %,,None,None,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,1.3.3: Percentage (%) of goods and services procured from SMMEs owned by designated groups,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,50 %,86.59 %,,,,50 %,86.59 %,,"The department based its target on the budget allocated for goods and services less the budget reserved for its contractual obligations per year and its key cost drivers are catering, cleaning material, stationery, printing, promotional material, venues and facilities and accommodation that are predominantly owned by business enterprises owned by women. Not much of goods was acquired from business enterprises owned by youth, people living with disability and military veterans during the year under review","The department will disaggregate the procurement of goods and services from the designated groups based on the following threshold per category:
Women- 40%
Youth- 30%
People living with disability- 7%
Military veterans- 3%

",,,,,,,,,295
