Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually, Percentage of interns enrolled against funded posts,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,5 %,,5.9,Placement opportunities were identified to enrol additional interns beyond the minimum target .,-,5.9,,,,,,,,,,260
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of prioritised manual services modernised,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,2,,0,Issues raised by SITA that all government procurement should be via them and based on audit queries raised by the AGSA previously.,Issuing of own bids to test the market and negotiate with SITA on proposal costs and/or SITA to grant approval for the department to proceed to appoint,0,,,,,,,,,,260
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of SAC awareness campaigns activated to  profile the work of the Department,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,4,,4,-,-,4,,,,,,,,,,260
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,Number of Izimbizo held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",3,1,3,"3 Izimbizo were held as follows: 
?	30 Aug 2023–Honouring and Celebrating the life and times of Dr John Kani, GP (Johannesburg).
?	14–15 Sept 2023–School Sport Indaba, GP (Boksburg).
?	28 Sept 2023–25th Anniversary & Heritage Celebrations for our Cultural Initiation School, EC (Centane).
",2,3,1,3,9,4,9,,,9,"The izimbizo programme is led by Ministry.
The new DSAC Ministry commenced on 07 March 2023 and thus the month of March and April was used for transition and handover. 

In addition, the Minister and DM had several internal and external stakeholder engagements outlining the Ministry priorities for 2023/24 and further understanding the role and work of the various stakeholders within the sport and arts & culture sectors. Thus, only one imbizo of the total three was achieved. 
","There is a cabinet instruction that Izimbizo must be held during Fridays from the 2nd Quarter, which will ensure that we overachieve (+5 Izimbizo) to recover the 1st Quarter target. 

The 1st Ministerial Imbizo is planned for 26th July 2023 at Centane, Eastern Cape.
",-,-,"Due to underachievement by 2 in Q1, the indicator must over-achieve during Q3 and Q4 to reach annual target.",-,Two (2) additional Creative Industry Imbizo and Thulare traditional Council Imbizo and handover of Outdoor Gym was held in the fourth quarter.,The additional Izimbizo were held during the fourth quarter to achieve the annual target,,260
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of valid invoices paid within 30 days,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,"100% of valid invoices paid within 30 days as follows:
?	July: 1 219 (R75 115 848.03)
?	August: 1 163 (R49 563 267.98)
?	September: 1 125 (R40 422 858.20)

?	Total: 3 507 (R165 101 974.21)
 %",100 %,100 %,100 %,100% %,100 %,200 %,100,,,100,-,-,-,-,-,-,-,-,,260
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of councils/boards that are fully  constituted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100% of councils/boards were fully constituted.  In the quarter under review there were no councils/boards that were due for reconstitution. %,100 %,100 %,100 %,93% %,100 %,200 %,93,"The Board of Boxing SA was 
interdicted from taking office. 
The matter was opposed but 
subsequently withdrawn. To 
deal with the issue of a 
governance vacuum, the 
Minister appointed the 
Accounting Authority with the 
concurrence from the National 
Treasury. The Accounting 
Authority takes full 
responsibility of the board
The Pan South African 
Language Board’s interviews 
were held by the Portfolio 
Committee, however the 
names recommended have not 
been submitted to the Minister 
to make appointment","constitution of the new 
Board of Boxing SA and 
Pan South African 
Language Board will be 
appointed as soon as the 
recommend names are 
received from parliament",93,-,-,-,-,-,-,"The Board of Boxing SA was interdicted from taking office. The matter was opposed but subsequently withdrawn.
The Pan South African Language Board’s interviews were held by the Portfolio Committee, however the names recommended have not been submitted to the Minister to make appointment.
",Reconstitution of the new Board of Boxing SA and Pan South African Language Board will be appointed as soon as the recommend names are received from parliament.,,260
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of community outdoor gyms and children's parks constructed ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,10,15,10,,15,"During the financial year, there was a request for an additional five (5) sites to be constructed. The programme reprioritises the budget to make provision of the 5 required sites.",,15,,,,,,,,,,260
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of heritage legacy facilities (including the Resistance and Liberation Heritage Route [RLHR] sites ) developed and / or maintained to transform the national heritage landscape,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,3,,0,"
Isibhubhu Cultural Arena 

The project could not be completed in one financial year due to its magnitude and to its budget demands.
Sarah Bartman Centre of Remembrance
The contractor vacated site in July 2021 due to contractual disputes with DPWI (Implementing Agent).
Dr JL Dube Amphitheatre
The project was affected by the National Treasury budget cuts, as a result the project could not proceed to the construction stage.

","Isibhubhu Cultural Arena 

The project is implemented over multiple financial years to alleviate budget pressures and to allow sufficient time for the project to be well implemented.

Sarah Bartman Centre of Remembrance
Co-management of the project and appointment DBSA as the Implementing Agent.
The Memorandum of Understanding (MoU) and the 
Terms of Reference for the PSC were developed and signed by DSAC and DPWI.Dr JL Dube Amphitheatre

Seek funding from national treasury as the fiscus improves or alternatively, the project be parked aside until such time that budget is available again as the current facility is useable.

",1,,,,,,,,,,260
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,"Number of hubs, clubs or schools provided with equipment and/or attire to enable participation in sport and/or recreation.",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,"3 500
",260
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of national sport and recreation events implemented ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,5 >,260
