Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Annually,1.1.1 Unqualified audit opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,"Unqualified audit opinion on
the 2023/24 annual financial
statements","Unqualified audit opinion on the 2023/24 annual financial statements was achieved  
",,,,,"Unqualified audit opinion on
the 2023/24 annual financial
statements",,,N/A,N/A,,,,,,,,,,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 1: Administration,Financial Management Services,Quarterly,1.2.1 Percentage of valid invoices paid within 30 days ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",100 %,92 %,100 %,96 %,100 %,98 %,100 %,97 %,100 %,97 %,,,,,Delays by business units to approve invoices for processing,Invoices tracking system is being used with nodal points for better control.,"Delays to submit invoices for processing, system error, rejection on safety web and in realignment of the budget impacted on the non-achievement of the set target ","Investigating the possibility of implementing an invoice tracking system
","1. Delay by users to verify invoices and resolve queries pertaining to invoices.
2. No authorizer at PSSC. 
3. Backlog due to capacity constrains. 
4. Bank details reject/query. 
","Investigating the possibility of implementing an invoice tracking system and issuing of non-compliance letters to managers.
","Delay by users to verify invoices and resolve queries pertaining to 
invoices.
Backlog due to capacity constraints. 
No budget on SCOA items
",None,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Animal Production and Health,Quarterly,3.1.2 Number of animal disease risk surveillances conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","3 animal disease
risk surveillances
conducted (CBPP,
PPR and FMD)","3 Animal disease risk surveillance were conducted(CBPP,PPR and FMD)
","3 animal disease
risk surveillances
conducted (CBPP,
PPR and FMD)","3 Animal disease risk surveillance were conducted (CBPP, PPR and FMD)
","3 animal disease
risk surveillances
conducted (CBPP,
PPR and FMD)",3,"3 animal disease
risk surveillances
conducted (CBPP,
PPR and FMD)","3 animal disease (CBPP, PPR and FMD) risk surveillances were conducted","3 animal disease
risk surveillances
conducted (CBPP,
PPR and FMD)",-,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,2.2.1 Number of provinces with delineated protected agricultural areas (PAAs),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Spatial
delineation—LP",Spatial delineation for Limpopo (LP) on grazing protected agricultural area (PAA) was  conducted,"Spatial
delineation—WC",Spatial delineation for Western Cape (WC) on grazing protected agricultural area (PAA) was conducted,"Spatial
delineation—EC",1Province (EC) was delineated for grazing PAA ,"3 provinces with
grazing PAAs (LP,
WC and EC)","Spatial delineation for 3 provinces (EC,LP and WC) on grazing protected agricultural areas were conducted","3 provinces with
grazing PAAs (LP,
WC and EC)",-,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Natural Resources and Disaster Management,Quarterly,3.2.1 Number of subsistence producers supported with integrated bioenergy (biogas) technology,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,4,"

4",3,3,3,3,13,13,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Annually,2.1.1 Number of hemp demonstration sites established,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,,,,,,,9,9,9,,,N/A,N/A,,,,,,,,,,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,3.1.1 Number of plant pest risk surveillances conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"3 plant pest risk
surveillances
conducted (Exotic
fruit fly, citrus
greening survey
and BBTV)","3 Plant Pest risk surveillance were conducted( Exotic fruity fly, citrus greening survey and BBTV)
","3 plant pest risk
surveillances
conducted (Exotic
fruit fly, citrus
greening survey
and BBTV)","3 Plant Pest risk surveillance were conducted( Exotic fruity fly, citrus greening survey and BBTV)
","3 plant pest risk
surveillances
conducted (Exotic
fruit fly, citrus
greening survey
and BBTV)",3,"3 plant pest risk
surveillances
conducted (Exotic
fruit fly, citrus
greening survey
and BBTV)","3 Plant pest (Exotic fruit fly, citrus greening survey and BBTV)risk surveillances were conducted ","3 plant pest risk
surveillances
conducted (Exotic
fruit fly, citrus
greening survey
and BBTV)",-,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Annually,5.1.1 Number of new students enrolled at agricultural training institutes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,800,811,800,,,"The achievement of higher number is due to increased number of applications for admission received, and this influenced the colleges to reconsider their admission targets and accept a little more students than initially planned.",Not applicable,,,,,,,,,,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Quarterly,5.3.1 Number of producers supported through Blended Finance Scheme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,25,0,25,0,25,77,25,0,100,77,,,,,"The quarter one reports from the Participating Financial Institutions (PFI) is received 30 days after the end of the quarter according to the MOAs signed. This is to allow the banks enough time to consolidate all the reports required. 
",The Q1 report will be submitted to M&E when received and will be reflected in the Q2 reporting period. Attempts are being made to ensure the banks provide a preliminary list of supported producers on the 10th after the end of the quarter and the rest of the reports 30 days after the end of the quarter as per the signed agreements. ,"A total of  66 producers supported in Q2 (59 Land Bank BFS , 6 Agro Energy Fund @Land Bank  and 1 IDC BFS). Request for additional POE as per TIDs was submitted to the branch FSAR.
","To engage the branch with the purpose of fast-racking the submission of outstanding information. 
","
The Blended Finance Scheme is demand driven and leverage on additional funding (loan) from the bank. Furthermore Land Bank perfected their screening, due diligence and approval turn-around. 
","None because the scheme is demand driven
","A total of 70 (68 Land Bank and 2 ABSA)  were reported to have been supported. The collation of  required information for validation of complete evidence is in progress.
",The outcome of validation process will be included in the annual report.. ,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,4.1.1 Number of Communal Property Associations Executive Committee members trained on governance,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Not Applicable,145,254,234,240,253,249,123,196,755,196,,,,,"Overachievement on the set targets is a result of the Tenure Unit prioritizing all the newly registered CPAs and those that are currently non-compliant

",N/A,"More than anticipated members arrived at the training however, they were allowed because there were no cost implications.
",N/A,"The overachievement in Q1, Q2 targets have contributed to annual target already been achieved inspite of negative variance 
realised  during q3",Align APP targets for 2025-2026 with historic quarterly performance,"Overachievement on the set targets was due to  implementation of action plans to respond to missed Q3 target. The focus was on prioritizing all the newly registered CPAs and those that are currently non-compliant .
",Not applicable,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.2.1 Number of farms supported through the Land Development Support Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,16,10,14,14,10,16,40,40,,,,,N/A,N/A,"One project did not meet the minimum income threshold of R350 000,00 as required by LDS Manual during the development of the business plan. Delays on the procurement of items by farmers in submitting non-compliant quotations. NLAACC recommended that one project requiring support for cropping, be referred for the Blended Funding Scheme since it had a livestock enterprise that was already above the R350 000,00 net income threshold. Deaths of members of a legal entity resulting into a process of  nominations and registration of these members as replacements. Delays in transferring grants due to non-compliant payment parcel, compounded by poor follow-up by Provinces. 
","The project is being replaced with another one and the target has been rolled-over to Q3. Engage farmers and assess documents submitted to minimize non-compliant quotations and see to it that farmers submit documents that are compliant. The project was subsequently replaced with another one, and performance will be reported in Q3. The process of regularising the entity is underway. Matter on inadequate follow-up was escalated to DDG: Provincial Operations for intervention.
",n/a,n/a,"The over-achievement was due to 6 farms that were supposed to have been completed in Q2 but were delayed (issues around session approval, correctio of recategorization, technical compliance to production requirements, availability to water due to outstanding bills etc), hence there was a variance of -6 in Q2 (under-achievement).
","Strict adherence of implementation timelines as per the signed APP quarterly targets, to avoid under performance in some quarters.
",,140
