Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.5: Legal,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.5: Legal,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
