Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q2,National_Q4,National_Q1,National_Q2,National_Q3,UID
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of District and Metro Municipalities monitored on implementation of IGR function,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",8,8,,,8,8,,,8,8,,,,8,8,,,8,8,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,"Number of District/Metro monitored on the implementation One Plans (MTSF 2019 – 2024, Priority 5: Spatial integration, human settlements, and local government)",Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,,,0,,,,0,,,,,8,8,,,8,8,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019-2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,7,"Targeted 1 municipality being Port St. Johns however we also received additional requests from Joe Gqabi DM, Inxuba Yethemba LM, BCMDA, Elundini LM, Emalahleni LM and Ngqushwa LM.
","Ethics Officers have been appointed in all 6 District Municipalities and the two Metros. These ethics officers will be trained which will enhance their capabilities to drive  proactive anti-corruption programmes within their respective municipalities.
",1,4,"The department capacitated Ethics Officers in  Alfred Nzo, OR Tambo, Amathole municipalities who will drive the anti-corruption programmes in their respective municipalities. Training of the ethics officers is one of the areas on the Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework  Assessment Tool wherein municipalities are monitored.",The Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework requires the establishment of Ethics Offices in municipalities.,1,3,"Targeted 1 municipality being Dr. AB Xuma LM for Q3; however the department  also received additional requests from OR Tambo DM and KSD LM 
","To ensure by end of fourth quarter 2024/25 financial year all municipalities have appointed Ethics Officers. All Ethics Officers appointed to be capacitated in the Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework as well as the Code for Ethical Leadership in municipalities.
",,1,2,"Targeted for the quarter was Sarah Baartman DM, however the department received additional requests from Joe Gqabi DM and Mhlontlo.  Joe Gqabi was not counted as it was supported during Q1 and since the calculation type is cumulative.
","N/A: All planned municipalities were supported.
",4,16,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,3,,,2,2,,,2,2,,,,5,5,,,12,12,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of reports on paperless business solutions compiled in line with the ICT Strategic Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of reports on vacant funded posts filled,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of municipal compliance assessment with relevant legislation(s) conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",10,10,,,12,12,,,9,9,,,,8,8,,,39,39,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of assessment reports developed on audit response plans implemented by municipalities towards improvement of audit outcomes (Linked to MTSF 2019-2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,Number of municipalities supported to have functional Municipal Public Accounts Committees (MPACs),Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",12,12,,,10,10,,,9,9,,,,8,8,,,39,12,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,All indicators that are not active for this financial year must be removed or if they are active kindly populate all the indicators with gaps ,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of quarterly Interventions conducted to monitor government debt payable to municipalities (Sub-outcome 3, Action 1)",Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",6,6,,,6,6,,,6,6,,,,6,6,,,6,6,,,,,Please check if the annual target is correct if each quarterly target for all quarters is 6,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",9,9,,,10,10,,,9,9,,,,5,5,,,33,33,,,,,,,,,,,202
