Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Health,Health,Northern Cape,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,Unqualified Audit Report,,,,Unqualified Audit Report,,,,,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.1: Information Communication and Technology,Quarterly,Percentage of PHC facilities with network access,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0 %,0 %,90 %,93 %,95 %,95 %,95 %,95 %,95 %,95 %,,,,,"Indicator reported from 
quarter 2",-,Targets are aligned to the APP. Nothing planned for the 1st quarter. ,"More facilities were connected, than the planned target.",-,Quarterly target achieved. Performance is on track up to the 2nd quarter. ,All planned facilities have network access.,Sustain connectivity and network access.,Performance is on track with the quarterly target achieved as planned. Please also provide the raw data indicating the number of PHC facilities with network access.,All planned facilities were connected.,All planned facilities to have network access.,Performance is on track with the annual target achieved as planned. ,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.2: Human Resource Management,Annually,Human Resource Plan developed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",Reviewed Human Resources Plan ,"Human Resource Plan developed and 
approved.",,,,,,,Reviewed Human Resources Plan ,"Human Resource Plan developed and 
approved.",,None,None,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.2: Human Resource Management,Annually,Percentage of Performance Agreements signed by SMS officials,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",100 %,50 %,,,,,,,100 %,50 %,,"The due date for submission of signed PAs has been extended to 31st 
August 2024 by DPSA as a result of the national 2024 elections. ",Compliance status will only correctly be reported in Quarter 2.,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Ideal Clinic Status obtained rate (PHC),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,57 %,52 %,57 %,52 %,,"Scale up plan facilities for 2024/05 is 101
Total number facilities that achieved the ideal clinic status is 84, of which 17 facilities are not ideal
","Remaining facilities to be included on the scale up plan
 
All 161 fixed facilities must be ideal in 2025/26
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Ideal Hospital Status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,27 %,18 %,27 %,18 %,,"
District hospitals category is unsatisfactory. 
NNVs are lacking.
","NNV to be 100%, emergency trolley items to be procured 
Calibration of equipment 


",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0 %,,,,,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,110 %,96.5 %,110 %,96.5 %,,"Monthly, and quarterly district and provincial Perinatal Morbidity and Mortality Review meetings conducted;
Provincial Maternal Death Assessors Meeting conducted 
Continuous in-service training on ESMOE and BANC Plus;
Improved coverage for Caesarean section and high risk clinics services at district level;
Improved working relationship between districts and Tertiary hospital (All patients discussed with senior MO/Consultant before referral)
Referral pathway and criteria clear between referring and the receiving facilities
","Monthly, and quarterly district and provincial 
Perinatal Morbidity and Mortality Review meetings conducted;
Provincial Maternal Death Assessors Meeting conducted 
Continuous in-service training on ESMOE and BANC Plus;
Improved coverage for Caesarean section and high risk clinics services at district level;
Improved working relationship between districts and Tertiary hospital (All patients discussed with senior MO/Consultant before referral)
Referral pathway and criteria clear between referring and the receiving facilities
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,80 %,74 %,,"The following domains scored below the target: Cleanliness, Staff attitude, Patient safety

","Develop quality service delivery quality improvement plan to improve the affected areas

",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient experience of care satisfaction rate (PHC),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,78 %,80 %,78 %,,"The following domains scored below the target: Cleanliness, Staff attitude, Patient safety

","Develop quality service delivery quality improvement plan to improve the affected areas

",,,,,,,,,,,,,,,,,,82
