Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q4,UID
Public Works,Public Works,North West,Programme 1: Administration,Sub-Programme 1.1 FINANCIAL MANAGEMENT,Annually,Percentage of audit findings addressed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,100%,"0
",,,,,100%,"0
",1,,,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 1: Administration,Sub-Programme 1.2 SUPPLY CHAIN MANAGEMENT,Annually,"Percentage of public procurement from  women, youth and persons with disabilities",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,"Women - 20%   Youth - 15%  Persons with Disabilities (PWD) - 5%
",0,,,,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 1: Administration,Sub-Programme 1.2 SUPPLY CHAIN MANAGEMENT,Annually,"Percentage of public procurement from women, youth, persons with disabilities and military veterans ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,"Women - 20%
Youth - 15%
Persons with disabilities - 5%
Military veterans – 1%",,"Women - 20%
Youth - 15%
Persons with disabilities - 5%
Military veterans – 1%",,"Women - 32.1%, 
Youth - 50.1%, 
PWD - 0% 
 Military Veterans -  0%
",,,,The higher the percentage indicates positive performance.,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 1: Administration,Sub-Programme 1.3 SPECIAL PROGRAMME,Quarterly," Number of mainstreaming programmes targeting women, youth, persons with disabilities, children, elderly persons, social cohesion and moral regeneration",Non-Standardized,Min,Priority 6: Social Cohesion and Safer Communities,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",11,,11,11,11,11,11,11,44,0,44,,,,The Higher the number indicates positive performance,,,None,None,Consider revising the indicator it has too many variables,N/A,N/A,,Target achieved.,N/A.,,,59
Public Works,Public Works,North West,Programme 1: Administration,Sub-Programme 1.3 SPECIAL PROGRAMME,Quarterly,"Number of mainstreaming programmes targeting women, youth and persons with disabilities",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",11,11,11,,11,,11,,44,-,,,,,,none,none,,,Output not reported on,,,Output not reported and reason for deviation not stated,,,,,59
Public Works,Public Works,North West,Programme 2: Public Works Infrastructure,2.1 SUB-PROGRAMME: CONSTRUCTION,Quarterly, Number of new  construction projects completed -  Client Depts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5,1,4,,0,,2,"0
",11,1,6,,,,,"One (1) project was completed, i.e.:

1.	Construction of the Bahurutshe Ba Ga Shuping Traditional Offices

The reasons for deviation in respect of the remaining four (4) projects are as follows:

1.	Construction of Tigane Secondary School Phase 2: cash flow challenges.

2.	Construction of Dinokana Community Library: Poor contractor performance & contractor is experiencing cash flow constraints and thus cannot purchase materials required.


3.	Construction of Tlokwe Secondary School: disruptions by local SMMEs due to outstanding payments and the contractor is experiencing cash flow challenges.

4.	Construction of Monnamere Primary School: project was delayed due to late payments by the Client Department.
","1.	Contractor to submit an application for approval of Extension of Time.

2.	The contractor was placed on penalties and was advised to enter into a Deed of Cession with a reputable supplier of the materials required.

3.	The Development Bank of Southern Africa (DBSA) has paid the cessionary in order for outstanding payments to SMMEs to be settled.

4.	Contractor to submit an application for approval of Extension of Time.
",,,Report not updated and reason for variation not stated,,,,"Target not achieved.

Projects not completed:

1.	Construction of Monchusi Secondary School = delays due to poor contractor performance.
2.	Construction of a modular library at Moshana Village, Ramotshere Moiloa = project was terminated due to poor contractor performance.

","The contractor has been put on terms and penalties have been applied.

Awaiting directive and budget confirmation from the Client Department.

",The department  to develop a recovery improvement plan with clear responsibilities and target dates,The department to consider the baseline challenges when planning for the next financial year targets,59
Public Works,Public Works,North West,Programme 2: Public Works Infrastructure,2.1 SUB-PROGRAMME: CONSTRUCTION,Quarterly,Number of new construction projects completed -  DPW&R,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",7,2,3,"3 

The projects completed are as follows:
* Construction of perimeter wall at the mini-Garona offices, Phase 1
* Paving and plumbing at Bontle Court flats, Mahikeng
* Construction of an ablution block at DPW&R stores, Bojanala District offices",3,"3
",6,"1
",19,2,12,,,,,"Two (2) projects were 
completed, i.e.:

1.	Construction of a perimeter wall at the DPW&R mechanical workshop, Ganyesa
2.	Construction of perimeter wall at the DPW&R sub-district office, Mogwase (Phase 1)


The reasons for deviation in respect of the remaining five (5) projects are as follows:

1.	DPWR 26/18 Supply, delivery and Installation of a transformer and generators at the Garona office building – commissioning was postponed pending servicing / maintenance of the sixteen existing substation transformers.

2.	Major renovations and upgrades at Potchefstroom Agricultural College Cluster B: contractor is experiencing cash flow constraints due to delayed payments.

3.	Installation of a steel water tank at DPW&R sub-district offices at Brits: labour disputes and late payment by the Department due to budgetary challenges.


4.	Construction of a perimeter wall (Phase 2) at DPW&R road camp, Christiana – awaiting budget confirmation.

5.	Supply, delivery and installation of an elevated steel water tank at DPWR sub-district office, Ditsobotla – poor contractor performance.
","1.	Procurement of a service provider for servicing of the substations is underway.
2.	Outstanding invoices are being processed.
3.	The local councillor was requested to intervene with regard to the local labour disruptions.  The Department is also addressing matters related to late payment. 


4.	The Table B5 will be revised.


5.	Contractor was engaged and the project has been completed since and will be reported in Quarter 2.

",Target achieved,N/A,Report not updated and reason for variation not stated ,"The target was not achieved as the following planned project was not completed:

1.	PWR 111/22 Supply, delivery and installation of a steel water tank at DPW&R sub-district offices, Lehurutshe – challenges include poor contractor performance, delay in receiving the laboratory results and late payments.

2.	A project targeted for Quarter 4 was achieved in Quarter 3, namely the construction of a perimeter wall at the Geo-sciences building in Mahikeng.

","Work will be completed in Quarter 4.
",,"Target not achieved.

Project completed: Construction of a perimeter wall at the DPWR sub-district office in Mogwase Phase 2.

Project completed earlier and reported in the prior quarter: Construction of a perimeter wall at the Geo sciences building, Mafikeng

Projects not completed:

1.	Supply, delivery and installation of guard houses at eleven MEC houses = delayed due to change of scope and design.
2.	Construction of seven new houses for parliamentarians at Ga-Lowe = the positioning of the underground 11kVa electrical cable, as determined during foundation excavations, necessitated the re-design in relation to the location of the houses.
3.	Construction of ablution facilities and a guard  house at the DPWR sub-district office in Brits = cash flow challenges  experienced by  DPWR due to the cash flow management directives implemented by Provincial Treasury & budget reprioritization.
4.	Construction of a perimeter wall at the DPWR District Office in Rustenburg Phase 2 = cash flow challenges  experienced by  DPWR due to the cash flow management directives implemented by Provincial Treasury & budget reprioritization.

","The projects have been rolled over to the 2025/26 financial year.
",The department  to develop a recovery improvement plan with clear responsibilities and target dates,The department to consider the baseline challenges when planning for the next financial year targets,59
Public Works,Public Works,North West,Programme 2: Public Works Infrastructure,2.1 SUB-PROGRAMME: CONSTRUCTION,Quarterly,Number of new construction projects completed - Client Depts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5,,2,"1

The following project was completed:

1. Construction of Tlakgameng Primary School",2,"3
",2,,11,0,6,,,,The Higher the number indicates positive performance.,,,"Target not achieved.

The following project was completed due to  poor contractor performance:

 * Upgrades and additions to Mamodibo High School: ",Weekly oversight meetings have been instituted to track the performance of the contractor.,Report not updated and reason for variation not stated,"The following projects were completed:

1.	Construction of a modular library at Madibe Makgabana village, Mahikeng.

2.	Construction of the Wolmaransstad Community Library.

3.	Upgrades and additions to Mamodibo High School (planned for completion in Quarter 2).

","N/A
",,,,,Output not reported and reason for variation not stated,59
Public Works,Public Works,North West,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Annually,deafult,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Quarterly,Number of Facilities provided,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,,,,,,,,,,,,Indicator to be removed from the system,Remove ,59
