Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Environmental Affairs,Environmental Affairs,Northern Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of climate change response interventions implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,0,1,0,0,"Due to cost containment, no climate change response interventions were implemented.",Cost containment,"No climate change response interventions implemented in 2024/25, decreasing from 1 implemented in 2023/24 FY. ",,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of environmental research projects completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of functional environmental information management systems maintained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of inter-governmental sector programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of legislated tools developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,8.1.1.1 Percentage compliance to legal obligations in respect of licensed facilities inspected,Non-Standardized,Average,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",72 %,100 %,72 %,82 %,72 %,87 %,72 %,92 %,72 %,"90,25 %",90,"The increase reflects an improvement in the licensed facilities compliance to conditions. It shows that of the facilities inspected, many were compliant.",None,Annual target achieved and indicated an improvement fom 59 when compared to the 2023/24 FY. ,,Facilities were found to be compliant with the conditions of permits,None,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with 100%.,There is a slight overachievement due to improvement in the regulated community adhering to license conditions,None,Performance is on track up to the 2nd quarter. ,"The increase reflects an improvement in the licensed facilities compliance to conditions. It shows that of the facilities inspected, many were compliant. ",,"Performance is on track up to the 3rd quarter, with 91% average performance up to the 3rd quarter. Please be reminded to provide a reason for deviation before final submission on 31 January 2025.",The overachievement due to an improvement in the regulated community adhering to license conditions,None,Quarterly and annual targets achieved up to the 4th quarter. ,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of administrative enforcement notices issued for non-compliance with environmental management legislation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,0,6,6,6,14,3,3,18,23,23,Additional notices were issued during operation Phakisa.,None,Annual target achieved and maintaine the same performance as per the 2023/24 FY. ,,Administrative processes affected by the incapacitation of two officers on medical grounds,4 referrals received from Compliance monitoring and are awaiting completion. 3 notices completed and will be served in the second quarter,The targets are aligned to the APP 2024-25. No Performance reflected for the 1st quarter. Please review and provide reason for deviation before the final submission.,None,None,"Quarterly target achieved as planned, however, gap of the 1st quarter still remains. 33,3% achieved against the annual target up to the 2nd quarter. (Please review this output and align the output with the narrative report before final submission, as 7 notices reflected in the draft narrative report)",additional notices issued at Operation phakisa,,"Performance is on track up to the 3rd quarter, with quarterly targets achieved as planned. Information is aligned to the draft narrative report on page 104",None,None,"Quarterly target achieved as planned. Annual target achieved, due to an over performance in the 3rd quarter, addressing the gap in the 1st quarter. ","The province is below Q1 target and has not achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter
","The province is on target for Q3 and has achieved the target for the quarter 
","The province is on target for Q4 and did achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of completed criminal investigations handed to the NPA for prosecution,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",4,3,4,2,4,4,3,1,15,10,10,Due to constraints in available human resources the target could not be met.,None,"Achieved 66,67% against the annual target, but indicated an improvement from the 4 achieved in the 2023/24 FY. ",,Demand driven target it is also affected by the incapacitation of two officers on medical grounds,Additional effort (within capacity constraints) will be made to finalise outstanding cases. ,The targets are aligned to the APP 2024-25. No Performance reflected for the 1st quarter. Please review and provide reason for deviation before the final submission.,Two officials were indisposed to ill health with one on extended leave due to his medical condition since July 2024. This has put a strain on the remaining officials to reach the quarterly target.,None,"50% performance against the quarterly target with 33,3% achieved against the annual target up to the 2nd quarter. ",,,"Quarterly target achieved, however gaps of Q1 and Q2 still remains. 60% achieved against the annual target up to the 3rd quarter. ",Target not met due to a shortage of personnel to follow on referred cases.,None,"33,3% Performance against the quarterly target, with 66,67% performance achieved against the planned annual target. There were under performance reflected in Q1, Q2 and Q4, due to capacity challenges. ","The province is below Q1 target and has not achieved the target for the quarter 
","The province is below Q2 target and has not achieved the target for the quarter 
","The province is on target for Q3 and has achieved the target for the quarter 
","The province is below Q4 target and did not achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,1,20,25,21,24,14,13,65,63,78,"The department received more complaints than what was anticipated, hence the target is overachieved.",None,Annual target achieved and reflected an improvement in comparison with the 73 achieved in the 2023/24 FY. ,,"Due to travelling restrictions, officials were unable to conduct inspections.",None,The targets are aligned to the APP 2024-25. Over performance reflected in the 1st quarter due to an increase in complaints. ,The overachievement is attributed to the increase in complaints related to emergency incidents occasioned by truck and rail derailments. ,None,"Quarterly target achieved, however the gap of the 1st quarter still remain. 40% Achieved against the annual target up to the 2nd quarter. ",Additional inspection were conducted due to complaints received. ,,"Quarterly target achieved, however gap of Q1 still remains. 75% achieved against the annual target up to the 3rd quarter. ",Less complaints received during the quarter under review.,None,"92,9% Performance against the quarterly target with 96,9% performance achieved against the planned annual target. The preliminary output is aligned to the draft narrative report. ","The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","The province is below Q4 target and has achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,8.2.2.2 Number of functional Provincial/Municipal Air Quality Officers forum,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
