Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q2,UID
Human Settlements,Human Settlements,Northern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Number of integrated implementation programmes for priority development areas completed per year,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,exempted,,,,,,,,,,,,,,,,,0,,,,,,,,14
Human Settlements,Human Settlements,Northern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of investment of the total Human Settlements allocation in PDAs,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",7.5 %,7.1 %,Quarter target not achieved and reason for deviation provided.  This required improved planning.,15 %,15.38 %,Expenditure on the DBSA has commenced in Q2 which increased expenditure in PDA’s,Engagements with Provincial Treasury to increase the monthly allocation of drawdowns to the department. This will improve expenditure on PDAs as service providers can claim progress payments on time.,Target for the quarter exceeded and reasons  provided. YTD performance is at 174%,22.5 %,22.77 %,Expenditure on the DBSA loan has commenced and increased expenditure in PDA’s,Engagements with Provincial Treasury to increase the monthly allocation of drawdowns to the department. This will improve expenditure on PDAs as service providers can claim progress payments on time.,Year to date performance is at 101%.,30 %,30.99 %,"Expenditure on the DBSA loan has commenced and increased expenditure in PDA’s. The province has included all expenditure on the HSDG, ISUPG and DBSA as the entire Province is a PDA. Therefore, all expenditure must be reported.",Engagements with Provincial Treasury to increase the monthly allocation of drawdowns to the department. This will improve expenditure on PDAs as service providers can claim progress payments on time.,"Annual target exceeded.  performance at end of the 4th quarter is 102,57%",30 %,15.38 %,30.99,,,,"Due to financial constraints, we were not able to meet the target",Engagements with Provincial Treasury to increase the monthly allocation of drawdowns to the department. This will improve expenditure on PDAs as service providers can claim progress payments on time.,The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of land acquired during 2014-2019 within the PDA’s rezoned ,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",25 %,0 %,"Quarter target not achieved.  If remedial measures are not managed, the annual target will not be realised",50 %,0 %,"Total % of land outstanding is 13%.
One land parcel is in progress for rezoning:
Portion 12 of Farm No.449 Pensfontein, Tsantsabane (46,2081 ha): 
The Spatial Planning and Land Use Management Act (SPLUMA) application lodged and awaits District Municipality Planning Tribunal to convene.
The Environmental Impact Assessment (EIA) application has been submitted to approving authority.
All specialist studies has been completed.","The service provider has submitted the environmental impact assessment application to approving authorities. The application is going t be tabled to the DMPT during the 3rd quarter.
","YTD performance is at 102,53%",75 %,100 %,The indicator is cumulative of total land acquired and rezoned. A total of 346.4919 hectares of land acquired between 2014-2019 has been rezoned before the anticipated timeframe.,None,Year to date performance is 133%,100 %,100 %,The Indicator is cumulative of total land acquired and rezoned. A total of 346.4919 hectares of land acquired between 2014-2019 has been rezoned before the anticipated timeframe.,,Annual target achieved.  100% by the end of the 4th quarter.,100 %,100 %,100,,,,"Rezoning of Erf 635, De Aar;
Erf 3726, De Aar; and
Portion 12 of Farm 449, Pensfontein, Tsantsabane, in process  -
the remaining land acquired during 2014-2019.","None. 
 The rezoning is in process. 
 Rezoning is a process that is not necessarily completed within a quarter. ",The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.2: Financial Interventions,Quarterly,Number of households that received subsidies through FLISP (Finance Linked Individual Subsidy Programme),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",5,3,Quarter target not realised.  Remedial measures to be managed in order for the annual target to be realised.,5,2,"Applicants are not credit worthy and do not qualify at financial institutions for home loans or personal loans to qualify for the FHF.
Processing and disbursement of the subsidy is at times hampered by the registration of the bank or attorney on the BAS payment system
","Vigorously market the programme in print and electronic media. 
Most applicants do not meet the qualification criteria for various reasons (high or low income, failure to qualify for home loans and previous property ownership)
",YTD performance is at 50%.  Remedial measures are to be followed through for the annual target to be realised. ,5,6,Interested applicants met the qualification criteria and did not experience any challenges with disbursements of the subsidy.,"Vigorously market the programme in print and electronic media. Furthermore, utilize the snowball methodology by requesting applicants to inform people whom might be interested in the programme.",Year to date performance is 73%,5,3,There were delays in the processing of application forms. · Processing and disbursement of the subsidy is at times hampered by the registration of the bank or attorney on the BAS payment system. The pressure on the inadequate HSDG affected the cash flow available for effective implementation of the programme.,Vigorously market the programme in print and electronic media. · Establish an internal process flow that will allow applications are processed timeously. · Establishing a FHF provincial retrospective policy,Annual target not achieved.  Performance at the end of the 4th quarter is 70%,20,14,14,,,,The main reason is that most of the applicants failed to meet the qualification criteria due to high- or low-income levels. The other reason is that some of the applicants fail to qualify for bank loans in oder to qualify for FHF.,Vigorously market the programme in print and electronic media. ,The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Annually,Number of informal settlements upgraded to phase 3 of the Upgrading of Informal Settlements Programme (UISP),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,1,5,,,,1,5,5,"Ivory Park, Groblershoop, Kathu, were done in Q1, Gamkor was done in Q2 and Prieska was done in Q4.
",None,,,,,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Quarterly,Number of Breaking New Ground (BNG) houses delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",207,12,Quarter target not realised and remedial measures to be managed and this is performance is following the trend of previous years underperformance.,850,26,"Delays were experienced due to beneficiary administration as municipalities lack capacity, training and infrastructure to undertake and capture the beneficiaries and contractor procurement for the 2500 BNG houses project as Implementing Agents were appointed by end of February 2024 with the procurement cycle exceeding the target timeline due to the nature of the scope.

Other project delays were caused by lack of PSP and nonperforming contractors. 

Delays in NHBRC Enrolment.

Municipalities are ever-changing project areas.
","All Contractors have been appointed for the 2500 project; negotiations are underway for them to compress/accelerate their programmes in order to meet the target for 2024/2025.
 
Appointments have been made for PSPs for projects that did not have PSPs. 
 
Notices and Terminations have been issued to poor performing contractors.
 
NHBRC enrolment is being done in phases.
","YTD performance is at 15,8%.  The annual target may not be achieved and this is to be addressed going forward as this indicator has been under achieved each year. ",850,62,"Delays due to: - non-performing contractors - Contractors expensing cash flow problems - Community interference (community stopped work for material and water disputes) - Delayed payments- contractors have indicated that they are unable to accelerate works on site and procure additional resources if not paid on time. - finalisation of DRMP and NHBRC enrolment- resulted in contractor not being able to commence at Padstow, Wyk 5 and Loopeng",i. Notices have been issued to contractors for slow progress. ii. Catch-up plans and accelerated programmes have been requested from contractors so that the projects can get back on track. iii. Community engagements are constantly being held to address their concerns and to avoid any further disruptions. Partial milestone payments and recommendation of MOS payments from the consultants,"Year to date performance is 12,5%. The annual target may not be achieved, and this is to be addressed going forward as this indicator has been under achieved each year.",851,87,"Non-performing contractors · Contractors are experiencing cash flow problems · Community interference (community stopped work for labour appointments disputes) · Delayed payments- contractors have indicated that they are unable to accelerate works on site and procure additional resources if not paid on time. · Finalisation of Dolomatic Risk Management Plan (DRMP) and NHBRC enrolment- resulted in contractor not being able to commence at Padstow, Wyk 5 and Loopeng · Poor workmanship · Adverse geographical conditions (Terrain and hard rock) · Electrical connections by Eskom and Local Municipalities · Funding constraints on HSDG Projects",Termination of poor contractors with notices being issued to contractors for slow progress. Catch-up plans and accelerated programmes have been requested from contractors so that the projects can get back on track. · Partial milestone payments and recommendation of MOS payments from the consultants. · Community engagements are constantly being held to address their concerns and to avoid any further disruptions. · Constant engagement with Provincial Treasury on timely payments. · DRMP has been expedited and enrollment anticipated to commence in the next quarter · Site instructions and NHBRC non-compliance issued as part of quality assurance. · Constant Engagements with Eskom and Local Municipalities · High level engagements with National to increase Baseline.,"Annual target not achieved.  Performance at the end of the 4th quarter is 11,82%",2758,187,178,"9 2023/24 Happy letters were wrongfully added to Q2 performance (Q1 -12, Q2-17,Q3-62,Q4-87 -Total 178)
",,,"Delays were experienced due to beneficiary administration as municipalities lack capacity, training and infrastructure to undertake and capture the beneficiaries and contractor procurement for the 2500 BNG houses project as Implementing Agents were appointed in end of February 2024 with the procurement cycle exceeding the target timeline due to the nature of the scope.
Other project delays were caused by beneficiary administration, various service provider withdrawals, bids not being responsive and adverse physical conditions on site. 
","Regional offices are providing training and facilities to municipalities to expedite beneficiary administration. Once all Contractors are appointed for the 2500 project,, negotiations will be done for them to compress/accelerate their programmes in order to meet the target for 2024/2025.",The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Quarterly,Number of serviced sites delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",266,5914,Quarter performance exceeded and reasons for deviation has been provided.,266,1435,The contractors are ahead of their schedule.,None,Annual target has already been exceeded. ,266,0,Annual target achieved,,Year to date performance is at 960%.  ,267,2222,1. Contractors are ahead of their schedules. 2. Good project management,None,Annual target exceeded. Performance as at the end of the 4th quarter is 898%,1065,9571,9571,"Contractors are ahead of their schedules.
Good project management..
",None,,"The Northern Cape Provincial Treasury allocated an amount of R250 000 000 million under equitable share in order to provide the department with funds to offset accruals for Human Settlements Projects of 2023/24 financial year. Funds were received in first quarter and to date an amount of R244 329 025.32 (98%) has been processed towards these accruals.  In the quarter one report, civil service projects (e.g. Kathu) were part of accruals paid from the equitable share",None,The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.4: Social and Rental Intervention,Quarterly,Number of Community Residential Units (CRU) delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,Exempted,,,,,,,,,,,,,,,,,0,0,,,,,,,14
Human Settlements,Human Settlements,Northern Cape,Programme 3: Housing Development,Sub-programme 3.4: Social and Rental Intervention,Quarterly,Number of rental social housing units delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",20,0,Quarter target not realised and remedial measures to be managed and this is performance is following the trend of previous years underperformance.,20,0,There is a contractual dispute between the contractor and the South African Swedish International Housing Company (SASIHC) over the contract price adjustment. The contractor has terminated the contract.,The National Department of Human Settlements has been requested to intervene in the matter.,YTD performance is at 0%,20,0,There is a contractual dispute between the contractor and the South African Swedish International Housing Company (SASIHC) over the contract price adjustment. The contractor has terminated the contract.,Service provider has been appointed.,Non performance to date.  Reasons for this has been provided.,20,0,The Department is not responsible for the implementation of this project. The project is implemented by SASIHC and Social Housing Regulatory Authority (SHRA).,SASHIC has appointed a new contractor to complete the rest of the rental units.,0% as at end of the 4th quarter agaisn the annual target.,80,0,0,The Department is not responsible for the implementation of this project. The project is implemented by SASIHC and Social Housing Regulatory Authority (SHRA).,Service provider has been appointed.,,There is a contractual dispute between the contractor and the South African Swedish International Housing Company (SASIHC) over the contract price adjustment. The contractor has terminated the contract.,The National Department of Human Settlements has been requested to intervene in the matter.,The output is noted however not verified by National,14
Human Settlements,Human Settlements,Northern Cape,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,Number of New title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",85,0,Quarter target not realised and remedial measures to be managed as performance is following the trend of previous years underperformance.,85,81,"GPs were not registered in the Deeds Office and
Mother Title deeds are lost hence Regulation 68(1) must first be concluded.
",Instructions have been issued to conveyances for Reg 68(1) in some municipalities and instructions for opening township registers/GPs in the deeds office. These processes take about two months to finalize before registration of title deeds can take place. Physical Verification will be conducted in October 2024,"Both quarter 1 and quarter 2 targets have not been achieved. Whilst remedial measures have been instituted, if not followed through the annual target may not be achieved.  ",85,331,Implementation of monthly performance meetings with Conveyancers.,N/A,"Year to date performance is at 161,57%.",88,14,"The annual target of 343 was already achieved in Q3, therefore the additional 14 achieved in Q4 added to the successful overachievement of 83 registration",,Annual Target exceeded with performance at 124%,343,426,426,Implementation of monthly performance meetings with Conveyancers.,None,,"GPs were not registered in the Deeds Office and
Mother Title deeds are lost hence Regulation 68(1) must first be concluded.
",Instructions have been issued to conveyances for Reg 68(1) in some municipalities and instructions for opening township registers/GPs in the deeds office. These processes take about two months to finalize before registration of title deeds can take place.,The output is noted however not verified by National,14
