Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q1,UID
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 101: Conduct an annual ECD Headcount Survey ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All ECD centres to be registered and actively using electronic means to transact with the Department,,,,,,,Approved Annual ECD Headcount Report,"Annual ECD Headcount 
Survey developed

",Approved Annual ECD Headcount Report,"Annual ECD Headcount 
Survey developed

",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 102: Number of schools connected for teaching and learning,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All township secondary schools connected.,,,,,,,200,218,200,218,,"Achieved: 
The Department in partnership with the Department of e-Government, increased the number of schools connected through the implementation of the contract to roll out connectivity.

",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 103: Number of Schools with access to ICT devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All schools have access to ICT resources to support curriculum delivery.,,,,,,,300,300,300,300,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 104: Gazetted Provincial Proclamation to regulate the new ECD landscape ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",The ECD Sector is transferred to the GDE with no disruptions to service delivery and subsidies,,,,,,,Target achieved in 2023/24,"Approved
 Provincial 
ECD Proclamation

",Target achieved in 2023/24,"Approved
 Provincial 
ECD Proclamation

",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 101: Percentage of female employees in top management,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",To ensure equality in the workplace and that females has equal opportunity.,,,,,,,47.0,48.3,47.0,48.3,,"Achieved:
The implementation of the recruitment strategy of the Department resulted in the increased employment of females in SMS posts.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 101: Percentage of female employees in top management,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,,47.81 %,000 %,47.81 %,000 %,,Refer to updated achievement,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 102: Percentage of people with a disability employed in the Department,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",To improve diversity and ensure equality in the workplace.,,,,,,,3.0 %,3 %,3.0 %,3 %,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103: Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","To decrease personnel expenditure and ensure that more funds are made available for non-personnel items. On or above target, i.e., more funds spent on non-personnel items than anticipated.",,,,,,,25.8 %,28.01 %,25.8 %,28.01 %,,"Achieved:
Overspending is due to the high expenditure from ICT together with claims against the state and leave gratuity.
",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 101: Number of public schools that use the South African School Administration and Management System (SA-SAMS) or any alternative electronic solution to provide data,Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,2216,2221,2216,"



2221",2216,"



2221",2216,2211,2216,2221,,,,,"The achievement was as a result of the net effect of 5 new schools opening due to increased demand.
",No corrective ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,5% of the set target.   The variance is 5. The PED has  provided a reason for the attainment of the set target for the quarter under review. ",The achievement was as a result of the net effect of 5 new schools opening due to increased demand.,No corrective action,Target exceeded.," The outcome for the 2nd  quarter of the 2024/25 financial year is 100.2% of the set target. The variance is 5. The PED has provided a reason for the attainment of the outcome for the quarter under review.
","
The achievement was as a result of the net effect of 5 new schools opening due to increased demand.
",No corrective action,Target achieved,"The PED has achieved 100,2% of the set target for the quarter under review. The variance is 5.  The PED has provided a reason for the attainment of the set target.  
","Achieved:
The achievement was as a result of the net effect of 5 new schools opening due to increased demand ",Nil,Target Exceeded,"The PED has achieved 99,77%  of the set target for the quarter under review.   The variance is -5. The PED has provided a reason for the attainment  of the quarterly target.  The PED is advisedd to check the comment under ""Reason fro Deviation Q4"" as the narrative shows that 5 schools have opened versus vi the minus five in terms of the variance.
",,125
Basic Education,Education,Gauteng,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 102: Number of public schools that can be contacted electronically (e-mail),Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,2216,2221,2216,"
2221",2216,"
2221",2216,2211,2216,2221,,,,,The achievement was as a result of the net effect of 5 new schools opening due to increased demand.,No corrective,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,5% of the set target.   The variance is 5. The PED has  provided a reason for the attainment of the set target for the quarter under review. 
",The achievement was as a result of the net effect of 5 new schools opening due to increased demand.,No corrective action,Target exceeded.," The outcome for the 2nd  quarter of the 2024/25 financial year is 100.2% of the set target. The variance is 5. The PED has provided a reason for the attainment of the outcome for the quarter under review.
",The achievement was as a result of the net effect of 5 new schools opening due to increased demand,No corrective action,Target Achieved,"The PED has achieved 100,2% of the set target for the quarter under review. The variance is 5.  The PED has provided a reason for the attainment of the set target.  
","Achieved:
The achievement was as a result of the net effect of 5 new schools opening due to increased demand.",Nil,Target Exceeded,"The PED has achieved 99,77%  of the set target for the quarter under review.   The variance is -5. The PED has provided a reason for the attainment  of the quarterly target.  The PED is advisedd to check the comment under ""Reason fro Deviation Q4"" as the narrative shows that 5 schools have opened versus vi the minus five in terms of the variance.
",,125
