Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,OTP_Q3,National_Q3,National_Q4,UID
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Number of Annual Financial Statements produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,1,1,,,,,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Number of assets register verified and updated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Number of Ethics management plan implemented ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Number of procurement plans produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,Number of risk profile register produced and implemented  ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Number of budget documents produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",0,0,0,0,1,1,1,1,2,2,2,None,None,,None,None,,None,None,None,None,None,None,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Number of Expenditure Reports produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",3,3,3,3,3,3,3,3,12,12,12,None,None,,None,None,Targets not captured according to approved APP - revise targets,None,None,None,None,None,None,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Number of ICT Governance implementation reports produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,None,None,,None,None,None,None,None,None,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Number of reports on contract management produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,None,None,,None,None,None,None,None,None,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Number of Revenue Reports produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",3,3,3,3,3,3,3,3,12,12,12,None ,None,,None,None,Targets not captured according to approved APP - revise targets,None,None,None,None,None,None,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Number of Annual Performance Plans produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,106
Police, Safety and Liaison,Mpumalanga,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,Number of Annual Performance Reports produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",,,1,1,,,,,1,1,1,None,None,,,,,,,,,,,,,,,,,106
