Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,Number of monitoring reports on implementation of Risk Management plan,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster","1 Quarterly monitoring report on implementation of Risk 
management plan ","1 Quarterly monitoring report on implementation of Risk 
management plan ",Not Applicable,Not Applicable,Target achieved.,"1 Quarterly monitoring report on implementation of Risk 
management plan ",1 Quarterly monitoring report on implementation of Risk management plan,Not Applicable,Not Applicable,Target achieved.,"1 Quarterly monitoring report on implementation of Risk 
management plan ",1 Quarterly monitoring report on implementation of Risk management plan	,Not Applicable,Not Applicable,Target achieved.,"1 Quarterly monitoring report on implementation of Risk 
management plan ",1 Quarterly monitoring report on implementation of Risk management plan,Not Applicable,Not Applicable,Target achieved,4 Quarterly monitoring reports on implementation of Risk management plan ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,Number of reports on the implementation of the Integrity Management Plan,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",1 Quarterly report on implementation of the Integrity Management Plan ,1 Quarterly report on implementation of the Integrity Management Plan,Not Applicable,Not Applicable,Target achieved.,1 Quarterly report on implementation of the Integrity Management Plan,1 Quarterly report on implementation of the Integrity Management Plan,Not Applicable,Not Applicable,Target achieved.,1 Quarterly report on implementation of the Integrity Management Plan,1 Quarterly report on implementation of the Integrity Management Plan	,Not Applicable,Not Applicable,Target achieved.,1 Quarterly report on implementation of the Integrity Management Plan,1 Quarterly report on implementation of the Integrity Management Plan,Not Applicable,Not Applicable,Target achieved ,4 Quarterly reports on implementation of the Integrity Management Plan ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage of invoices paid within 15 days,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",85% of invoices paid within 15 days,79% of invoices paid within 15 days ,The delay in the submission of the invoices by the end users led to the target not being achieved,Tracking of invoices to be conducted weekly. Consequence management letters were issued to managers responsible for the delay in submission of invoices for payment,Target achieved.,85% of invoices paid within 15 days ,88% of invoices paid within 15 days,"The Department implemented the weekly tracking system for the payment of invoices, and this contributed to the target being exceeded",Not Applicable,Target achieved.,85% of invoices paid within 15 days ,82% of invoices paid within 15 days	,Financial constraints – some of the invoices had to be kept in the system for more than 15 days to accommodate cash allocation for the month.,The Department will apply for possible savings in compensation of goods to be used for payment of suppliers within 15 days,Target achieved.,85% of invoices paid within 15 days ,80% of invoices paid within 15 days,Financial constraints – some of the invoices had to be kept in the system for more than 15 days to accommodate cash allocation for the month,The Department will apply for possible savings in compensation of goods to be used for payment of suppliers within 15 days,Target achieved,85% of invoices paid within 15 days ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage of invoices paid within 30 days ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",100% of invoices paid within 30 days ,100% of invoices paid within 30 days ,Not applicable,Not applicable,Target achieved.,100% of invoices paid within 30 days ,100% of invoices paid within 30 days,Not Applicable,Not Applicable,Target achieved.,100% of invoices paid within 30 days ,100% of invoices paid within 30 days	,Not Applicable,Not Applicable,Target achieved.,100% of invoices paid within 30 days ,100% of invoices paid within 30 days,Not Applicable,Not Applicable,Target achieved,100% of invoices paid within 30 days ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage procurement on businesses owned by persons with disabilities ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",7% procurement on businesses owned by persons with disabilities ,0% procurement on businesses owned by persons with disabilities ,The department did not receive sufficient responses from businesses owned by persons with disabilities to provide service for the commodities that were required,"
The department has created a database of businesses owned by persons with disabilities and will continue with targeted procurement where the request for quotations will be sent only to the businesses owned by PWD for some of the commodities required",Target not achieved.,7% procurement on businesses owned by persons with disabilities ,"0% procurement on businesses owned by persons with disabilities 
","The service providers that responded to request for quotations were unable to provide proof of disability
","The department has created a database of businesses owned by persons with disabilities and continues to request for quotations from these service providers. Further engagements will be held with the businesses owned by persons with disabilities to empower them on the type of documentation required
",Target achieved.,7% procurement on businesses owned by persons with disabilities ,0% procurement on businesses owned by persons with disabilities	,The high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on businesses owned by persons with disabilities  ,The Department continues to explore strategies that will result in the improvement in procurement spending on targeted groups,Target achieved.,7% procurement on businesses owned by persons with disabilities ,0% procurement on business owned by persons with disabilities,"As a result of financial constraints, the high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on businesses owned by persons with disabilities   ",The Department continues to explore strategies to improve spending on targeted groups,Target not achieved,7% procurement on businesses owned by persons with disabilities ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage procurement spend on women- owned businesses ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",40% procurement spend on women-owned businesses ,33% procurement spend on women-owned businesses ,The department received limited responses from businesses owned by women to provide services for the commodities that were required for the quarter under review,The department will intensify efforts to solicit responses from women-owned businesses for some of the commodities required in the subsequent quarters,Target achieved.,40% procurement spend on women-owned businesses ,"25 % procurement spend on women-owned businesses 
",The department received limited responses from businesses owned by women to provide services for the commodities that were required for the quarter under review,The department continues with efforts to solicit responses from women-owned businesses for some of the commodities required in the subsequent quarters,Target achieved.,40% procurement spend on women-owned businesses ,12% procurement spend on women-owned businesses,The high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on women-owned businesses  ,The Department continues to explore strategies that will result in the improvement in procurement spending on targeted groups,Target achieved.,40% procurement spend on women-owned businesses ,11% procurement spend on women-owned businesses,"Due to the financial constraints, the high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review were mostly from contracts thus affecting the spending on women-owned businesses  ",The Department continues to explore strategies to improve spending on targeted groups,Target not achieved,40% procurement spend on women-owned businesses ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage procurement spend on youth- owned businesses ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",30% procurement spend on youth-owned businesses ,20% procurement spend on youth-owned businesses ,The department received limited responses from businesses owned by youth to provide services for the commodities that were required for the quarter under review,The department will intensify efforts to solicit responses from youth-owned businesses for some of the commodities required in the subsequent quarters,Target achieved.,30% procurement spend on youth-owned businesses ,"17 % procurement spend on youth-owned businesses 
",The department received limited responses from businesses owned by youth to provide services for the commodities that were required for the quarter under review,The department continues with efforts to solicit responses from youth-owned businesses for some of the commodities required in the subsequent quarters,Target achieved.,30% procurement spend on youth-owned businesses ,22% procurement spend on youth-owned businesses	,The high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on youth-owned businesses  ,The Department continues to explore strategies that will result in the improvement in procurement spending on targeted groups,Target achieved.,30% procurement spend on youth-owned businesses ,3% procurement spend on youth owned businesses,Due to budget constraints the high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review were mostly from contracts thus affecting the spending on youth-owned businesses  ,The Department continues to explore strategies to improve spending on targeted groups,Target not achieved,30% procurement spend on youth-owned businesses ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage procurement spent on township- based enterprises ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",30% procurement spent on township-based enterprises ,17% procurement spent on township-based enterprises ,The department received limited responses from township-based enterprises to provide services for the commodities that were required for the quarter under review,The department will intensify efforts to solicit responses from township-based enterprises for some of the commodities required in the subsequent quarters,Target achieved.,30% procurement spent on township-based enterprises ,"13.92% procurement spent on township-based enterprises 
",The department received limited responses from township-based enterprises to provide services for the commodities that were required for the quarter under review,The department continues with efforts to solicit responses from township-based enterprises for some of the commodities required in the subsequent quarters,Target achieved.,30% procurement spent on township-based enterprises ,7.78% procurement spent on township-based enterprises,The high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on township-based enterprises  ,The Department continues to explore strategies that will result in the improvement in procurement spending on targeted groups,Target achieved.,30% procurement spent on township-based enterprises ,2% procurement spent on township-based enterprises,"Due to financial constraints, the high percentage of the Department’s spending was on contracts which includes both RT contracts and awarded tenders. The commodities that were acquired during the period under review was mostly from contracts thus affecting the spending on township-based enterprises  ",The Department continues to explore strategies to improve spending on targeted groups,Target not achieved,30% procurement spent on township-based enterprises ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,Percentage reduction in irregular expenditure incurred in the previous financial years ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Economy, Jobs and Infrastructure ","Justice, Crime Prevention and Security cluster",Not planned for the quarter,"Not Applicable
",Not applicable,Not applicable,Target achieved.,Not Applicable,Not planned for the quarter,Not planned for the quarter,Not planned for the quarter,N/A,Not Applicable,Not planned for the quarter	,Not Applicable,Not Applicable,,50% reduction of irregular expenditure incurred in the previous financial years ,0% reduction of irregular expenditure incurred in the previous financial years,Delay in finalisation of investigations because of interdependencies ,Investigations are scheduled to be concluded in the next financial year,Target not achieved,50% reduction of irregular expenditure incurred in the previous financial years ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,Number of Gauteng Traffic Wardens Trainees appointed ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",Not planned for the quarter ,"1 519 Gauteng Traffic Wardens Trainees appointed
",The department embarked on an expedited process of recruitment of Gauteng Traffic Wardens. The appointment is within allocated budget,Not Applicable,"Progress is noted, however the target was not planned for Quarter 1.

There is misalignment between the 2024/25 APP and what is populated on the system. The 2024/25 APP states that this target is reported in Quarter 2, however the target is also populated in Quarter 3 and Quarter 4. ",1639 Gauteng Traffic Wardens Trainees appointed ,53 Gauteng Traffic Wardens Trainees appointed,"As at the end of Q2, 1 549 Gauteng Traffic Wardens trainees were appointed. The target was not achieved due to withdrawal of some applicants due to various reasons. Furthermore, the verification of the suitability of the candidates took longer than anticipated.
",The remaining applicants will be appointed in quarter 4,Target not achieved.,Not Applicable,Not planned for the quarter	,Not Applicable	,Not Applicable	,,Not Applicable,90 Gauteng Traffic Wardens trainees appointed,The appointment of 90 Gauteng Traffic Wardens was part of the recruitment initiated in Q1 and concluded during Q4 as part of the catch-up plan,Not Applicable,Q4 progress is noted,1639 Gauteng Traffic Wardens Trainees appointed ,-,,,,,,67
