Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q3,OTP_Q2,National_Q1,DesiredPerformance,UID
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Quarterly,9.1.2 Number of statutory documents tabled at Legislature,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",1,1,Target achieved,,2,,1,1,Target achieved,,6,6,Target achieved.,,10,6,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-programme 1.1: Office of the MEC,Quarterly,9.1.2 Number of statutory documents tabled at Legislature,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",1,1,Target achieved,,1,2,2,1,Target achieved,The correct target for quarter three is one. ,6,,,,10,1,,,,,Please mention the names of the statutory documents tabled at Legislature during this quarter,Target achieved.,,How come we have 2 showing as a target then? Please ensure that it is rectified urgently. Be aware that we will be recording it as a non-achievement from our side in the meantime until it is rectified.,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.4.1 Holistic Human Resources for Health (HRH) strategy approved,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,Aproved HRH Strategy,,,,Aproved HRH Strategy,,,.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.7.1 Percentage of Hospitals with connectivity,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,52.8 %,50.5 %,,,52.8 %,50.5 %,,Target achieved within 5% margin of error..,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.7.2  Percentage of fixed PHC facilities with connectivity,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,32 %,32 %,,,32 %,32 %,,Target achieved,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,7.1.1 Audit opinion of Provincial DoH,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,Unqualified,Qualified,,,,,,,,,Unqualified,Qualified,,"Target not achieved for 2023/24 Audit due to instable leadership, lack of resources and lack of consequence management. ","•	Audit Improvement Plan Implementations, 
•	Weekly AIP Workgroup Meetings, CBC, and 
•	Provincial Treasury Presentation of AIP Progress 
",,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,8.1.1 Contingent liability of medico – legal cases,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,"R23,857bn","R23,985bn",,,"R23,857bn","R23,985bn",,Target achieved within 5% margin of error..,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Quarterly,6.8.1 Number of benefit medical examination conducted during outreach,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",200,0,"Target not achieved.
No outreaches conducted due to austerity measures and the fact that partnership with other partners did not materialise. The Project Management Unit was not able to conduct the BMEs. 
",•	To work in partnership with other stakeholders as the austerity measures are still in place.,600,,600,,,The indicator has been revomed after re-tabling of the APP. ,600,,This indicator was amended and removed in August.,,200,0,,,,,Show how you will recover the 200 you have already lost in Q1,Indicator has been removed.,,"POE of the removal will also be required, please try to get it ready",Please provide evidence of the approval for the indicator to be removed.,,,222
