Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,Clean Audit for 2022-23,,To be concluded end of July 2023	,To be concluded end of July  2023,"To be concluded end of July  2023

","To be concluded end of July  2023
",,,,,,,,,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of Impact Evaluation Study (IES) Reports completed ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,0,"There were delays in the finalization of the report
",In-house work,0,,,,,,,,,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage compliance with key legislative requirements,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,100% compliance with quarterly requirements,100% compliance,100% compliance with quarterly requirements,100%,100% compliance with quarterly requirements,100% compliance with quarterly requirements ,100% compliance with quarterly requirements,90% compliance ,100% compliance,-,90,Non-compliance with PFMA Regulations and 2017 Preferential Procurement regulation,Non-compliance due to procurement for legal services. Revisions to the Supply Chain Policy have been done so as to ensure future compliance. ,90,None,None,None,None ,None ,None,Non compliance with PFMA regulations and 2017 Preferential Procurement regulation ,Revisions to the supply chain policy have been done so as to ensure future compliance  ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage expenditure against total budget,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,15% - 25% expenditure,21% expenditure,35% - 50% expenditure,23%,65% - 75% expenditure,"68% expenditure:
(Approximately 
R150.3m spent 
out of R220.5m)

",98% - 100% expenditure,96% expenditure ,98% - 100% expenditure,-,96% expenditure ,AGSA invoices relating to audit planning been invoice in Q4 other than Q1 2023/24 and proactive audit on APP and TID,AGSA invoices relating to audit planning been invoice in Q4 other than Q1 2023/24 and proactive audit on APP and TID,96,None,None,None,None,None ,None ,AGSA invoices relating to Audit planning have been invoiced in Q4 other than Q1 2023/24 and proactive audit on Audit  of APP and TID  ,Budget tracking tool has been developed.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Strategic Risks Treatment Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,26.5 %,40 %,20.5% %,70 %,58 %,100 %,"implemented 64,3% of SRTP %",100 %,,64,Capacity constraints with resignation of Senior Managers (2) and delays in procurement of external service providers. ,Capacity constraints with resignation of Senior Managers (2) and delays in procurement of external service providers. ,64,None,None,"Exceeded by 7%
ome treatment 
plans exceeded 
targets due to 
efficiencies and 
strategic 
approaches.",None,Less by 12 percentage points,Various reasons including non-responsiveness to calls for proposals; capacity constraints due to management transitional arrangements; and CRM systems challenges,capacity constraints with resignation of senior managers and delays in procurement of external service providers,Performance contracts include risks for all staff,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of recommendations from 2020-21 Remuneration Structure and Conditions of Service Report (RSCSR),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,10 %,35 %,5% %,65 %,20 %,80 %,implemented 45% of RSCSR %,80 %,10 %,45,"Service provider appointed. Kick off meeting has taken place and have submitted documents for the service. Meeting with Commissioner scheduled for early March 2023, this has been rescheduled to 13 April 2023, this is aimed at the top management analysis with the board. The Job evaluation committee has been constituted and trained",We had delays in implementing the project due to a delay in starting  the tender procurement process.,45,None,None,Capacity constraints due to the resignation of the human resources manager,Contracting consultant,Quarterly target less by 25 and year-to-date by 45 percentage points,"Capacity constraints due to resignation of human resources manager. 
Service provider appointed and target will be met
",Service provider not appointed ,Human Resources to review the indicator for next financial year.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Human Capital Management (HCM) Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 23%,Min 35%,12%,Min 65%,70%,Min 80%,70% achieved ,Min 80%,-,70%,"Performance Management Policy was not done. Automation of the system for performance management was not done. 
Innovative recruitment methods not implemented.
",Limited capacity challenge resulted in non-achievement of the plan. ,70%,None ,None,None,None,None ,None,Bursary scheme is being implemented ,HR is processing the payment of tuition ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Organisational Culture Renewal Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 15%,Min 35%,o%,Min 65%,65%,Min 80%,Implemented 50% of OCRP,Min 80%,-,65%,Implemented 65% of OCRP,Implementation will be done with approved plan before the next financial year. ,65%,None,None ,Capacity constraints due to the resignation of the human resources manager,Contracting consultant,None,None,Activities undertaken under OCRP were not explicitly included in the OCRP,Implementation will be done with approved plan before the next financial year ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Information and Communications (ICT) Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 13%,Min 35%,17%,Min 65%,70%,Min 80%,Implemented 78% of ICT plan ,Min 80%,-,78%,Delayed Sharepoint migration ,Delayed Sharepoint migration ,78%,None,None,"CRM Server 
crashed due to 
loadshedding. ",Plan to procure additional system,None,None,Delayed SharePoint migration and Aug vox rentals,ICT plan did not link ICT staff performance with the ICT plan deliverables.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Knowledge Management Plan (KMP),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,5 %,35 %,47% %,65 %,67% %,80 %,Implemented 60% of KMP %,80 %,5 %,67,Delays in implementation of Digitization element of the KMP.,Delays in implementation of Digitization element of the KMP.,67,Digital transformation process prolonged due to lessons learnt for thorough planning and understanding before procurement.,Drafting of Terms of Reference in progress for procurement during Q2,Support of newly appointed Librarian ,None,Quarterly target less by 10 and year-to-date target exceeded by 2 percentage points.,None,Challenges with final approval of the plan.,Capacity constraints.,275
