Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Social Development,Social Development,Northern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.Number of EPWP work opportunities created,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1082,1239,1082,1239,1239,The over achievement of the target is a result of the consolidation of work opportunities on he Department interms of the Equitable Share and the Incentive Grant allocation and the reallocation of funds fir the creation of additional work opportunities ,No Corrective action needed ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,4.Number of approved Human Resource Reports in line with the reviewal of the Human Resource Plan,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1,1,1,1,1,Target achieved as planned.,No corrective action needed,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,2.Number of Annual and interim financial statements,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0,0,1,1,1,1,1,1,3,3,3,"Key control measures were implemented to mitigate the risk of non-compliance, resulting in achievement of targets.",No need for corrective action. ,,No target set for the quarter.,Not applicable.,There is no planned target for Q1.,Target achieved as planned.,No need for corrective action.,"To date, performance is on track.",Target achieved as planned. ,No corrective action needed.,"To date, performance is on track. ",Target achieved as planned. ,No corrective action needed.,"To date, performance is on track.",,,,,58
Social Development,Social Development,Northern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,3.Number of risk management reviews conducted.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,4,4,4,"Key control measures were implemented to mitigate the risk of non-compliance, resulting in achievement of targets.",No need for corrective action.,,Target achieved as planned ,Not applicable.,The target was achieved as planned.,Target achieved as planned. ,No need for corrective action. ,"To date, performance is on track.",Target achieved as planned. ,No corrective action needed.,"To date, performance is on track. ",Target achieved as planned. ,No corrective action needed.,"To date, performance is on track.",,,,,58
Social Development,Social Development,Northern Cape,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,5. Number of approved planning and reporting documents: Annual Performance Plan and Annual Report,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0,0,1,1,0,0,1,1,2,2,2,"Key control measures were implemented to mitigate the risk of non-compliance, resulting in achievement of targets.",No need for corrective action. ,,No target set for the quarter ,Not applicable,There is no planned target for Q1.,Target achieved as planned.,No need for corrective action. ,"To date, performance is on track.",No target planned for the quarter under review.,No corrective action needed.,"To date, performance is on track. ",Target achieved as planned. ,No corrective action needed.,"To date, performance is on track.",,,,,58
Social Development,Social Development,Northern Cape,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,1.Number of older persons accessing residential facilities.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",829,854,829,851,829,861,829,882,829,882,882,The over achievement  of the target was as a result of the opening of a  new residential facility in the Pixley ka Seme district.,Continuous awareness about the benefits of Home and Community- care and support services. ,,The reason for the over-achievement is the opening of a new facility in the Pixley Ka Seme District.,No corrective action needed ,Target exceeded.,The reason for the over-achievement is the opening of a new facility in the Pixley Ka Seme District.,No need for corrective action.,"To date the target is over exceeded, and the reason for the overachievement is noted.",The reason for the over-achievement is the high demand for the service and as a result of the opening of a new facility in the Pixley Ka Seme District.,No need for corrective action. ,"To date, performance is on track. ",This is a demand driven service and as a result of the high demand during the quarter under review the target was over-achieved.,No Corrective Action Needed ,"To date, performance is on track.",Targeted output is overachieved with reason for deviation for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,2.Number of older persons accessing community-based care and support services.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",1500,1422,1500,1476,1500,1614,1500,1667,1500,1667,1667,"The implementation of a range of awareness programmes about the benefits of community based care and support services resulted in an increase in older persons  in service centres, hence the over-achievement.",Continuous awareness about the benefits of Home and Community- care and support services. ,,The under-achievement of the target was due to the low demand for the service,Continuous awareness programmes ,The target was not achieved as planned. ,The under-achievement of the target was due to the low demand for the service.,Continuous awareness programmes.,"To date, performance is not on track.",This is a demand driven service and as a result of the high demand during the quarter under review the target was over-achieved.,Continuous advocacy and awareness programmes. ,"To date, performance is on track. ",This is a demand driven service and as a result of the high demand during the quarter under review the target was over-achieved.,Continuous advocacy and awareness programmes. ,"To date, performance is on track.",Underachievement with reason for deviation and corrective action is noted for this indicator.,Underachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation and corrective action for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,3.Number of older persons accessing services through the Home Community –based Caregivers (HCBC).,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",1800,1813,1800,1772,1800,1767,1800,1816,1800,1816,1816,"The implementation of a range of awareness about the benefits of Home and Community- care and support services resulted in an increased uptake for HCBC services, hence the over-achievement.",Continuous awareness about the benefits of Home and Community- care and support services. ,,The target was over achieved due to the high demand of the service ,No corrective action needed,Target exceeded.,The under-achievement of the target was due to the low demand for the service.,Continuous awarenss programmes.,"To date, performance is not on track.",The under-achievement of the target was due to the low demand for the service,Continuous advocacy and awareness programmes. ,Target not achieved in Q3 due to low enrolment. but to date performance is on track.,This is a demand driven service and as a result of the high demand during the quarter under review the target was over-achieved.,Continuous advocacy and awareness programmes. ,"To date, performance is on track.",,,,,58
Social Development,Social Development,Northern Cape,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,1.Number of persons with disabilities accessing residential facilities.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",260,266,260,257,260,257,260,259,260,266,266,The over-achievement of the target was as a result of 6 older persons that passed -on which resulted in additional  intakes in terms of replacements.,Continuous advocacy and awareness programmes. ,,The target was over achieved due a increase in intake of people with disabilities.,No corrective action needed.,"The target was exceeded, and the reason for the deviation is noted.",The under-achievement is due to  low intake.,Continuous marketing of service. ,"Q2 target was not achieved as planned, but due to the overperformance in Q1, to date performance is on track. ",This is a demand driven service. Beneficiaries was assessed during  quarter 3. Intake will take place during January 2025 in quarter 4. ,No need for corrective action.,"Slight underperformance is noted in Q3 and the reason for deviation is noted. But to date, performance is on track.",The target is under achieved due to the fact that a service beneficiary passed away and the new admission process for applicant is  not concluded. ,Admission process needs to be Fastrack ,"To date, performance is on track.",Targeted output is overachieved with reason for deviation reported.,Underachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation noted for this indicator with underachievement reported.,Under achievement recorded with reason for deviation and corrective action for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,2.Number of persons with disabilities accessing services in protective workshops ,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",180,201,180,203,180,203,180,204,180,204,204,The over-achievement of the target was as a result of increased awareness programmes about protective workshops and their developmental impact on persons with disabilities.,Continuous advocacy and awareness programmes. ,,The over-achievement of the target was as a result of increased awareness programmes about protective workshops and their developmental impact on persons with disabilities.,No corrective action needed ,"The target was exceeded, and the reason for the deviation is noted.",The over-achievement of the target was as a result of continuous awareness programmes around protective workshops and their developmental impact on persons with disabilities.,No corrective action needed.,To date the annual target is exceeded as a result of the demand for the service. ,The over-achievement of the target was as a result of increased awareness programmes about protective workshops and their developmental impact on persons with disabilities.,No need for corrective action. ,"To date, the annual target is already achieved. The department is requested to review the target for the 25/26 financial year.",The over-achievement of the target was as a result of increased awareness programmes about protective workshops and their developmental impact on persons with disabilities.,No Corrective Action Needed ,"To date, performance is on track.",The same comment as above applies.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,58
