Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.1: Office of the MEC,Annually,Number of Annual Reports submitted to the North West Provincial Legislature for tabling,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,N/A,N/A,,,,,,,,,,,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.3: Corporate Services,Quarterly,Number of officials trained in line with Work Skills Plan ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",20,60,60,184,50,67,20,54,150,365,365,Increased Demand for training by officials in line with the Work Skills Plan.,N/A,,This variance was as a result of additional trainings which had to be undertaken.,N/A,"Over achievement was as a result of:

1.Three mandatory trainings for interns :

1.1.(New TVET Interns) Personal Mastery training =19 officials  
1.2.(Graduate Interns) Personal Mastery=67 officials
1.3.BB2E training=18 officials.

2.Advanced Management Development Programme (AMDP):

The training could not take place last financial year because a group needed to be formed, confirmation for training was only received in Q2 2024/25 FY. Block 1-2 =20 Officials
",N/A,,Overachievement was as a result of increased Demand for training by officials in line with the Work Skills Plan ,N/A,"The overachievement was as a result of increased Demand for training by officials in line with the Work Skills Plan.
",N/A,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.4: Financial Management (CFO),Quarterly,% of valid invoices paid within 30 days,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,N/A,N/A,,N/A,N/A ,N/A,N/A,,N/A,N/A,N/A,N/A,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.4: Financial Management (CFO),Quarterly,Number of reports on procurement spend to  Women-owned businesses produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.4: Financial Management (CFO),Quarterly,Number of reports on procurement spend to  youth owned businesses produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub - Programme 1.4: Financial Management (CFO),Quarterly,Number of reports on procurement spend to persons with disabilities  owned businesses produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub-Programme 1.2: Risk Management,Annually,% of compliance to Financial Disclosure on designated groups,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,100 %,100 %,,,,,100 %,100 %,100,N/A,N/A,,,,,,,,,,,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub-Programme 1.2: Risk Management,Annually,% submission of disclosures of financial interest for SMS,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,,,,,100 %,100 %,100,N/A,N/A,,,,,,,,,,,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub-Programme 1.2: Risk Management,Annually,Number of Strategic Risk Assessment Performed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,29
,North West: Provincial Treasury,North West,Programme 1: Administration,Sub-Programme 1.4: Financial Management (CFO),Annually,Number of Annual financial statements without material misstatements,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,N/A,N/A,,,,,,,,,,,29
