Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Annually,Percentage of audit findings resolved for FY 2024-25- Safety and Liaison,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",,,,,85 %,88 %,,,85 %,88 %,88,None,None,,,,,,,,,,44
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management ,Annually, Percentage of budget for goods and services spent on enterprises owned by people with disability for FY 2024-25- Safety and Liaison,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,7 %,0.85 %,7 %,0.85 %,0.85,"Low Participation in Procurement Opportunities
High compliance and registration requirements (e.g., tax status, CIDB grading and failure for uploading of valid medical report declaring disability status of the individual on CSD etc.) discourage participation or result in disqualification when evaluating.

From October 2024 until the end of Quarter 4 (31 March 2025), the department experienced cash flow constraints, which significantly impacted its ability to meet designated group procurement targets. Due to these financial limitations:
All new procurement processes were ceased.
The department focused exclusively on honouring existing contractual obligations.
This resulted in limited opportunities to source goods and services from designated groups, particularly newer or smaller suppliers such as youth- and disability-owned enterprises.",Reassess the commodities included in designated group procurement targets.,,,,,,,,,,44
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management ,Annually,Percentage of budget for goods and services spent on enterprises owned by youth for FY 2024-25- Safety and Liaison,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,30 %,20.19 %,30 %,20.19 %,20.19,"The department experienced persistent challenges in achieving procurement targets set aside for designated groups. A major constraint is the male dominance who are not youth in the supplier landscape, particularly in high-value and specialized sectors, which limits opportunities for inclusive participation.
From October 2024 until the end of Quarter 4 (31 March 2025), the department experienced cash flow constraints, which significantly impacted its ability to meet designated group procurement targets. Due to these financial limitations:
All new procurement processes were ceased.
The department focused exclusively on honouring existing contractual obligations.
This resulted in limited opportunities to source goods and services from designated groups, particularly newer or smaller suppliers such as youth- and disability-owned enterprises.
",Reassess the commodities included in designated group procurement targets.,,,,,,,,,,44
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management ,Annually,Percentage of budget spent on enterprises owned by women for FY 2024-25- Safety and Liaison,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,40 %,34.73 %,40 %,34.73 %,34.73,"The department experienced persistent challenges in achieving procurement targets set aside for designated groups. A major constraint is the  dominance of enterprises that are owned by men in the supplier landscape, particularly in high-value and specialized sectors, which limits opportunities for inclusive participation. 
From October 2024 until the end of Quarter 4 (31 March 2025), the department experienced cash flow constraints, which significantly impacted its ability to meet designated group procurement targets. Due to these financial limitations:

All new procurement processes were ceased.
The department focused exclusively on honouring existing contractual obligations.

This resulted in limited opportunities to source goods and services from designated groups, particularly newer or smaller suppliers such as youth- and disability-owned enterprises.",Reassess the commodities included in designated group procurement targets.,,,,,,,,,,44
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.3: Financial Management ,Quarterly,Percentage of invoices paid within 30 days for FY 2024-25- Safety and Liaison,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",100 %,97 %,100 %,96 %,100 %,89 %,100 %,83 %,100 %,83 %,94,"1.  Cash flow challenges.
2.  Principal’s confirmation for transporting learners during teacher day not attached.
3.  Address on invoice not the same as on CSD.
4.  Services Level Agreement(SLA) expired.
5.  Additional bus not on SLA and appointment letter.
6.  Kilometres claimed not the same as on contract.
7.  Re verification of kilometres not approved.
","The Department was granted approval in November 2024, for acquiring a invoice tracking system to assist with the processing of invoice payments within 30 days. Compliance will be checked at the receiving point and also at Internal Control (stage 3) of payments process, Logistics (Stage 5) and Payments (last stage), invoices will be returned immediately when not compliant.  ",,"1. Closure of the system at year end 2. Supporting documents not compliant. E.g. original form B and D not fully completed, form D not attached, duplicate invoice 3. Bank account closed and Bank account verification failed.",Compliance check of documents at the receiving point before processing of payments,"1. Adress on order & invoice not on CSD
2. Invitation to interview and motivation for late submission not attached.
3. No of days on form D not correct
4. No School stamp on the forms
5. Bank Account closed
6. SLA and appointment letter not attached
7. Invoice and order amount not the same
8. Delay in verification process"," 	
Compliance check of documents at the receiving point before processing of payments"," 	
1. Cash flow Challenges
2. Kilometres claimed differs with kilometres approved
3. Supporting documents not attached and escalation amount not charged
4. Address on invoice and pink copy not on CSD
5. System interface error
6. Bank account closed"," 	
Acquiring of invoice tracking system ","1.  Cash flow challenges.
2.  Principal’s confirmation for transporting learners during teacher day not attached.
3.  Address on invoice not the same as on CSD.
4.  Services Level Agreement(SLA) expired.
5.  Additional bus not on SLA and appointment letter.
6.  Kilometres claimed not the same as on contract.
7.  Re verification of kilometres not approved.
","Acquiring of invoice tracking system. Compliance is checked at Internal Control (stage 3) of payments process, Logistics ( Stage 5) and Payments (last stage). Compliance of documents will be checked at receiving point and returned immediately when not compliant.  ",44
Transport,Transport,North West,Programme 1: Administration,Sub-Programme 1.6: Security ,Quarterly,Number of reports complied on the implementation of the disaster management plan for FY 2024-25- Safety and Liaison,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"Governance, State Capacity and Institutional Development cluster",1,1,1,1 Report on Disaster Management Plan monitored,1,1,1,1,4,1,4,None,None,,none,none,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Annually,Number of research projects conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Justice, Crime Prevention and Security cluster",,,,,,,2,2,2,2,2,None,None,,,,,,,,,,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3 : Monitoring and Evaluation,Quarterly,Number of monitoring compliance forums held with IPID and the SAPS to monitor implementation of recommendations,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",3 %,3 %,3 %,3 %,3 %,3 %,3 %,3 %,3 %,12 %,12,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3 : Monitoring and Evaluation,Quarterly,Number of police stations monitored for compliance to regulations,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",10,01,10,15,10,14,10,10,40,40,40,None,None,,Mmabatho Police Station was identified for piloting and  implementation of the new Monitoring Tool. The process was to assess the gaps and effectiveness of the tool before it could be carried out at all other thirty nine (39) identified police stations.,"The nine (09) police stations not visited will be spread between the three quarters and implemented as such.


",The 5 extra police stations monitored are meant to cover the shortfall of Q1.,None," 	
At the end of Q3, 14 police stations were visited against a target of 10. The 4 extra police stations are meant to cover the shortfall of Q1",None,None,None,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3 : Monitoring and Evaluation,Quarterly,Number of police stations monitored on compliance to implementation of Domestic Violence Act (98) SAPS,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",10,01,10,15,10,14,10,10,40,40,40,None,None,,"Mmabatho Police Station was identified for piloting and implementation of the new Compliance Tool. The process was to assess the gaps and effectiveness of the tool before it could be carried out at all other thirty nine (39) identified police stations
","The nine (09) police stations not visited will be spread between the three quarters and implemented as such.
",The 5 extra police stations monitored are meant to cover the shortfall of Q1.,None," 	
At the end of Q3, 14 police stations were visited against a target of 10. The 4 extra police stations are meant to cover the shortfall of Q1",NOne,None,None,44
