Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q2,UID
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,1.1 Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,,,Unqualified audit opinion,Unqualified audit opinion,Unqualified audit opinion,Unqualified audit opinion,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.2 Percentage compliance to payment of suppliers within 30 days,Standardized,Max,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,100 %,100% %,100 %,99.99% %,100 %,99.96 %  %,100 %,100 %,,,,,None ,sustain ,none ,sustain ,One (1) invoice out of 19132 invoices received was paid late due to negligence. ,Corrective measures have been taken against the responsible officials,Eight (8) invoices out of 21834 were paid late due to negligence,Corrective measures have been taken against the responsible officials.,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.3 Percentage completeness of asset register,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,97 %,100 %,100% %,100 %,94% %,100 %,94% %,100 %,97 %,,,,,"72 Assets captured in the Assets Data Forms but not yet captured in the Fixed Assets Register.
Mis-classification journals not yet processed.
",Extra resources will be delegated to help the team with data capturing and preparations of journals.,none ,sustain ,Annual leaves during the festive season had an impact on the process of reconciliation.,Work extra hours daily to ensure that we recover lost time and complete the remaining work,"Slow progress on the following processes: 
1. Assets verification, barcoding
2. Distribution of assets at year end to Institutions.	Work extra hours to complete the remaining work.

",Put extra hours during the week in order to complete the work,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.4 Revenue collected,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",53400000,56.5,40900000,R53.9m,47000000,580700000,79100000,R52.9m,220600000,0,,,,,Implementation of collection measures from funded patients,Sustain,"Improved collection measures on patient fees, medical records and parking fees.",Sustain,"Improved collection measures implemented on patient fees, medical records and parking fees.",Sustain,Delays in payment of claims by the Road Accident Fund,Regular Engagement and reconciliation of lodged claims,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Average,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.1 Patient experience of care satisfaction rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,82 %,,,,,,82 %,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.1 Patient experience of care satisfaction rate (PHC),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",5. Accelerate social change and improve quality of life of Limpopo’s citizens (2019-2024),"The Social Protection, Community and Human Development cluster",,,82 %,86 %,,,,,82 %,86 %,,"Surveyed priorities achieved by 4/5 districts:  
-Availability of medicine  
-Patient Waiting time 
- Values and Attitudes
- Patient safety
- Waiting time
",Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.5 Maternal Mortality in facility  ratio,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,113,104.8,113,104.8,,Conducted maternal death file assessments to identify gaps and remedial intervention to strengthen clinical governance for maternal health in all facilities,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.7 Neonatal death in facility rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,12,,12,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.9 TB Rifampicin resistant/Multidrug – Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,0 %,7.3 %,0 %,7.3 %,,Tracing of treatment interrupters and linking them back to care,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,3.1 Ideal clinic status obtained rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",5. Accelerate social change and improve quality of life of Limpopo’s citizens (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,30 %,60.7 %,30 %,60.7 %,,Development and implementation of the facility quality improvement plans.,Sustain,,,,,,,,,,,,,,,191
