administration_type;government_institution;project_slug;sector;project_name;project_description;gps_code;nature_of_investment;infrastructure_type;current_project_stage;sip_category;project_value_rands;br_featured;featured;financial_year;budget_phase;amount_rands
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2024;Adjusted Appropriation;11850000
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2025;MTEF;13593000
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2026;MTEF;14272000
National;Agriculture;agriculture_drilling_of_boreholes;Economic Services and Infrastructure;Drilling of boreholes;Siting, drilling and testing of boreholes for small-scale farmers identified in priority projects by provinces;All provinces over South Africa for stock water;New infrastructure assets;Boreholes;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2027;MTEF;14985977
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2024;Adjusted Appropriation;30039000
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2025;MTEF;31541000
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2026;MTEF;6893000
National;Agriculture;agriculture_foot-and-mouth_disease_border_fence;Economic Services and Infrastructure;Foot-and-mouth disease border fence;Repairs and construction of foot-and-mouth disease fences in priority areas identified by the animal health directorate;-24.013218, 31.880606;Upgrading and additions;Fence;Other - Packaged Ongoing Project;Not related to SIPs;500000000;;TRUE;2027;MTEF;34774418
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2024;Adjusted Appropriation;3886000
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2025;MTEF;4080000
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2026;MTEF;4284000
National;Agriculture;agriculture_various;Economic Services and Infrastructure;Various;Various maintenance and repairs to office buildings;-25.736899, 28.203720;Maintenance and repair;Office buildings;Other - Packaged Ongoing Project;Not related to SIPs;75000000;;TRUE;2027;MTEF;4498589
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2024;Adjusted Appropriation;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2025;MTEF;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2026;MTEF;0
National;Agriculture;agriculture_kwazulu-natal_durban*;Economic Services and Infrastructure;KwaZulu-Natal: Durban*;Construction of an animal quarantine station;-29.859472, 31.012620;New infrastructure assets;Quarantine station;Design;Not related to SIPs;48666000;;TRUE;2027;MTEF;0
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2024;Adjusted Appropriation;5000000
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2025;MTEF;2000000
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2026;MTEF;0
National;Agriculture;agriculture_gauteng_roodeplaat_plant_genetic_centre;Economic Services and Infrastructure;Gauteng: Roodeplaat plant genetic centre;Upgrade of plant genetic centre: Roodeplaat;-25.585049, 28.376213;Upgrading and additions;Office building;Other - Packaged Ongoing Project;Not related to SIPs;40000000;;TRUE;2027;MTEF;0
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2021;Audited Outcome;0
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2022;Audited Outcome;0
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2023;Audited Outcome;0
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2024;Adjusted Appropriation;500000
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2025;MTEF;1103000
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2026;MTEF;1158000
National;Agriculture;agriculture_eastern_cape_grootfontein_agricultural_development_institute;Economic Services and Infrastructure;Eastern Cape: Grootfontein Agricultural Development Institute;Upgrade of infrastructure at Grootfontein Agriculture Development Institute;-31.473123, 25.028608;Upgrading and additions;Water and sewerage reticulation;Other - Packaged Ongoing Project;Not related to SIPs;29755000;;TRUE;2027;MTEF;1215506
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2021;Audited Outcome;2073743000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2022;Audited Outcome;1930801000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2023;Audited Outcome;1712957000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2024;Adjusted Appropriation;1271155000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2025;MTEF;1346053000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2026;MTEF;400000000
National;Basic Education;basic_education_school_infrastructure_backlogs_grant;Social Services;School infrastructure backlogs grant;"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools";Not specified;New infrastructure assets;Eradication of inappropriate school infrastructure and provision of basic services to schools;Other - Packaged Ongoing Project;SIP 13:  National school build programme;10935546000;;TRUE;2027;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2021;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2022;Audited Outcome;520000
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2023;Audited Outcome;0
