Year,CPI
1996/97,0.081341339
1997/98,0.07553693
1998/99,0.076173778
1999/00,0.037925416
2000/01,0.064969042
2001/02,0.052898788
2002/03,0.103981957
2003/04,0.033392039
2004/05,0.019905924
2005/06,0.036227525
2006/07,0.05186093
2007/08,0.081345434
2008/09,0.098760881
2009/10,0.064516129
2010/11,0.038181818
2011/12,0.05545826
2012/13,0.055420354
2013/14,0.058170003
2014/15,0.056259905
2015/16,0.051669167
2016/17,0.062951404
2017/18,0.047143696
2018/19,0.04646319
2019/20,0.041873995
2020/21,0.029732417
2021/22,0.041538687
2022/23,0.042325435
2023/24,0.044485285
2024/25,0.044485285
